Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Flowsight,2023,"Augsburg, Bayern, Germany","Artificial Intelligence (AI), Brewing,",1-10,1,"$1,000,000",Pre-Seed,"Jun 26, 2023","$1,000,000",4,—,The monitoring feature of Flowsight Brewcast enables complete transparency by visualizing the whole brewing process.,Artificial Intelligence (AI),Flowsight Artificial Intelligence (AI) startup website,,,,390.0
Cometum,May 2020,"Munich, Bayern, Germany","Banking, Blockchain, Cryptocurrency,,,",1-10,2,"€450,000",Pre-Seed,"Aug 1, 2022","€250,000",—,—,Cometum´s mission is to become Europe´s No.1 digital private bank for affluents and HNW-Millennials.,Banking,Cometum Banking startup website,,44,"1,402",922.0
Aiden,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Property Management,",1-10,1,"€100,000",Pre-Seed,"May 16, 2024","€100,000",1,—,"Aiden uses AI to help property managers enhance customer service and automate requests, guiding them into AI-driven real estate.",Artificial Intelligence (AI),Aiden Artificial Intelligence (AI) startup website,,,,
ROADIA,Jan 2021,"Potsdam, Brandenburg, Germany","Analytics, Artificial Intelligence (AI),,",11-50,2,"$1,042,279",Pre-Seed,"Jul 29, 2021","$1,000,000",1,6,ROADIA is a potsdam based company that develops scalable road safety sensors,Analytics,ROADIA Analytics startup website,,,,559.0
Globout,2023,"Berlin, Berlin, Germany","Information Technology, Social Network,",1-10,2,"€100,000",Pre-Seed,"Feb 19, 2024","€100,000",2,—,"Globout improves and multiplies real-world, in-person connections to combat social isolation and loneliness.",Information Technology,Globout Information Technology startup website,,,401,629.0
Human Labs,"Feb 22, 2022","Grünwald, Bayern, Germany",Artificial Intelligence (AI),1-10,1,"€1,300,000",Pre-Seed,"Apr 27, 2022","€1,300,000",2,5,Building the strongest communities.,Artificial Intelligence (AI),Human Labs Artificial Intelligence (AI) startup website,,,,225.0
Airtime,2022,"Berlin, Berlin, Germany",Software,1-10,1,"$500,000",Pre-Seed,"Dec 31, 2022","$500,000",2,—,Airtime helps product teams to make the right decision on what to build and how by providing in-depth user insights whenever needed.,Software,Airtime Software startup website,,,,
heyvie,"May 31, 2021","Karlsruhe, Baden-Wurttemberg,","Machine Learning, Neuroscience,",1-10,1,"€435,000",Pre-Seed,"Jul 1, 2021","€435,000",2,—,Imagine a society in which every human could pursue whatever goal they want. Say hey to your new life. Say heyvie.,Machine Learning,heyvie Machine Learning startup website,,45.4K,27.6K,114000.0
LifeTap,"Jan 7, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,2,"$230,134",Pre-Seed,"Apr 5, 2022","$120,000",1,6,group recommendations for your leisure time,Artificial Intelligence (AI),LifeTap Artificial Intelligence (AI) startup website,,,,
heyday,2020,"Berlin, Berlin, Germany",Software,11-50,1,"€1,000,000",Pre-Seed,"Mar 10, 2021","€1,000,000",3,—,heyday is an innovative software solution for the optimization and administration of employee benefits.,Software,heyday Software startup website,,,77,2000.0
Onstruc,Oct 2020,"Berlin, Berlin, Germany","Apps, Construction, Document Management,,,",11-50,1,"€550,000",Pre-Seed,"Jan 1, 2021","€550,000",—,—,Onstruc developed software to simplify process documentation and supervision in the building industry.,Apps,Onstruc Apps startup website,,,,
zebrapass,"Jul 1, 2022","Berlin, Berlin, Germany","Blockchain, Information Technology,",1-10,4,"$292,027",Pre-Seed,"Jan 1, 2023","€89,000",3,—,Easily design your own custom workflows with actions & triggers between web2 and web3 apps with our blockchain data query know-how.,Blockchain,zebrapass Blockchain startup website,,,,
Carmino,2020,"Potsdam, Brandenburg, Germany","B2B, Data Collection and Labeling,,,,",1-10,1,"€350,000",Pre-Seed,"Nov 1, 2020","€350,000",—,—,Carmino provides a solution for automated data collection and carbon accounting for employees.,B2B,Carmino B2B startup website,,,116,
CREX Capital,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Financial Services,,",1-10,2,"€100,000",Pre-Seed,"May 15, 2023","€100,000",2,—,CREX Capital is a Financial Service company that provides a regulatory-compliant process for commercial real estate financing transactions.,Artificial Intelligence (AI),CREX Capital Artificial Intelligence (AI) startup website,,,,
Coachinho,"Mar 2, 2021","Bonn, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Computer Vision,,,,,,,",1-10,2,"€400,000",Pre-Seed,"Jul 1, 2022","€200,000",2,1,Our interactive Learning Game App provides digital Training with Soccer Pro's based on AI - real-time feedback based on Pros' motion data.,Artificial Intelligence (AI),Coachinho Artificial Intelligence (AI) startup website,,,122,3000.0
Enefty Technologies,2021,"Berlin, Berlin, Germany","Blockchain, Web3",1-10,2,"$400,000",Pre-Seed,"Oct 21, 2023","$200,000",3,—,Next generation loyalty memberships for brands powered by web3,Blockchain,Enefty Technologies Blockchain startup website,,,,
PLAN3T,"May 20, 2020","Hamburg, Hamburg, Germany","Consumer, FinTech, Mobile Apps",1-10,1,"€750,000",Pre-Seed,"Nov 16, 2021","€750,000",3,1,PLAN3T is a fintech that helps consumers to save money and CO2 by connecting their bank account with our app.,Consumer,PLAN3T Consumer startup website,,,,
Sapper Intelligence,2024,"Berlin, Berlin, Germany","Aerospace, Artificial Intelligence (AI),",—,1,"€100,000",Pre-Seed,"Aug 27, 2024","€100,000",1,—,Sapper Intelligence specializes in AI radar signal recognition and sensor fusion to find large hidden objects beneath soil and vegetation.,Aerospace,Sapper Intelligence Aerospace startup website,,,,
metacards,2022,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, eSports,,",1-10,1,"€700,000",Pre-Seed,"Mar 15, 2022","€700,000",1,—,Metacards creates a global online gamer capital market.,Blockchain,metacards Blockchain startup website,,62.1K,"3,435",
Halbestunde,Apr 2020,"Alt Tellin, Mecklenburg-Vorpommern,","EdTech, Music, Music Education",1-10,2,"€1,125,000",Pre-Seed,"Feb 25, 2022","€600,000",—,—,Halbestunde develops music-education mobile applications.,EdTech,Halbestunde EdTech startup website,,,,
Forenamics,Apr 2020,"Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Enterprise Resource Planning (ERP),,,,,,",1-10,1,"€350,000",Pre-Seed,"May 1, 2021","€350,000",1,—,Forenamics is a AI demand forecasting service for food producers.,Artificial Intelligence (AI),Forenamics Artificial Intelligence (AI) startup website,,,,
Sempi,2024,"Berlin, Berlin, Germany","Apps, E-Commerce, Information Technology",1-10,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,"Sempi simplifies selling valuable items, handling descriptions, pricing, postings, and buyers.",Apps,Sempi Apps startup website,,,28,259.0
dreamteam,"Jul 26, 2021","Frankfurt, Hessen, Germany","Human Resources, Information Technology,,",1-10,1,"€600,000",Pre-Seed,"Apr 15, 2022","€600,000",2,—,SaaS-enabled B2B marketplace for teambuilding,Human Resources,dreamteam Human Resources startup website,,,,4000.0
CALIMA,"Apr 22, 2021","Berlin, Berlin, Germany","Commercial, Consulting, Public Safety,",1-10,1,"€325,000",Pre-Seed,"Apr 22, 2021","€325,000",—,1,CALIMA develops and distributes an emergency system for companies to protect lone workers in compliance with the law.,Commercial,CALIMA Commercial startup website,,,208,764.0
Pockethost,2021,"Plankstadt, Baden-Wurttemberg,","Apps, Gaming, Online Games,",1-10,1,"€375,000",Pre-Seed,"Sep 26, 2022","€375,000",—,—,Pockethost is a software development company that provides applications to create servers and plugins for MCPE games.,Apps,Pockethost Apps startup website,,,98,
Moving Parts,2021,"Berlin, Berlin, Germany","Developer Tools, iOS, Software",1-10,1,"$125,000",Pre-Seed,"Aug 31, 2021","$125,000",5,—,Moving Parts is building a library of reusable UI components for iOS.,Developer Tools,Moving Parts Developer Tools startup website,,,,
Balanced - the Relationship app,"Apr 16, 2021","Berlin, Berlin, Germany","Apps, Mental Health, Wellness",11-50,1,"€1,000,000",Pre-Seed,"Nov 15, 2021","€1,000,000",—,—,"Balanced Family provides knowledge, skills, motivation, and support to build, manage and enjoy relationships",Apps,Balanced - the Relationship app Apps startup website,,,,
F&B Technologies GmbH,May 2021,"Hamburg, Hamburg, Germany","Coffee, Food and Beverage, Industrial Automation,",1-10,1,"€250,000",Pre-Seed,"Feb 1, 2022","€250,000",—,—,the moc is an IoT enabled company that brings automated and data driven specialty coffee to the streets.,Coffee,F&B Technologies GmbH Coffee startup website,,,278,
Traindoo,2022,"Munich, Bayern, Germany","Health Care, Software",1-10,1,"€500,000",Pre-Seed,"Nov 17, 2022","€500,000",3,—,Traindoo offers a tool for online coaching and physiotherapy.,Health Care,Traindoo Health Care startup website,,,,
