Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
ReachTeens,"Apr 1, 2020","Hamburg, Hamburg, Germany","Cloud Computing, Cloud Data Services,,",1-10,1,"€50,000",Pre-Seed,"Aug 15, 2020","€50,000",1,—,Consulting media companies for Gen-Z,Cloud Computing,ReachTeens Cloud Computing startup website,,,,40000.0
dstack,Jan 2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), Cloud Data Services,",1-10,1,—,Pre-Seed,"Jan 18, 2022",—,1,3,dstack is an open-source tool that enables defining ML workflows as code.,Artificial Intelligence (AI),dstack Artificial Intelligence (AI) startup website,,803,,
onu.energy,Apr 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Energy,,,",1-10,1,—,Pre-Seed,"Dec 1, 2023",—,1,—,"AI, B2B SaaS, Energy, Buying, Procurement",Artificial Intelligence (AI),onu.energy Artificial Intelligence (AI) startup website,,,,
BlazeSQL,"Feb 4, 2023","Berlin, Berlin, Germany","Artificial Intelligence (AI), Human Resources,,",11-50,2,—,Pre-Seed,"Jun 12, 2024",—,—,—,BlazeSQL is an AI-powered tool that helps you turn questions into data insights from your SQL database.,Artificial Intelligence (AI),BlazeSQL Artificial Intelligence (AI) startup website,,,,
CATHAGO,Jan 2021,"Berlin, Berlin, Germany","Construction, SaaS, Software",11-50,1,—,Pre-Seed,"May 1, 2021",—,4,—,CATHAGO is a ConTech startup which increases efficiency in construction procurement with a cloud SaaS solution.,Construction,CATHAGO Construction startup website,,,,2000.0
PULT,Mar 2021,"Hamburg, Hamburg, Germany","Enterprise Software, Human Resources,,",11-50,1,—,Pre-Seed,"Jan 1, 2022",—,—,3,"PULT helps modern companies run their office management on autopilot - from desk booking, to room booking, and visitor management.",Enterprise Software,PULT Enterprise Software startup website,,44,,1000.0
beams,Nov 2021,"Berlin, Berlin, Germany","Apps, Consulting, SaaS, Software",1-10,2,—,Pre-Seed,"Jun 15, 2023",—,6,1,beams helps you navigate your workday with more focus and less stress,Apps,beams Apps startup website,,,,
Libra,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Legal Tech",1-10,1,—,Pre-Seed,"Feb 1, 2024",—,1,—,AI Sandbox for your law practice,Artificial Intelligence (AI),Libra Artificial Intelligence (AI) startup website,,268,,1000.0
Unosecur,"Feb 18, 2021","Berlin, Berlin, Germany","B2B, Cloud Security, Enterprise Software,",1-10,1,—,Pre-Seed,"Mar 1, 2021",—,1,—,Cloud Identity Threat Detection and Response Platform,B2B,Unosecur B2B startup website,,,,561.0
Mirantus Health,"Jul 27, 2022","Berlin, Berlin, Germany","Health Care, Information Technology,",11-50,1,—,Pre-Seed,"Nov 30, 2022",—,9,1,Mirantus is building a distributed healthcare provider to improve access to care for underserved patients.,Health Care,Mirantus Health Health Care startup website,,,,
cre[ai]tion,2022,"Frankfort, Hessen, Germany","Artificial Intelligence (AI), Fashion,,",1-10,1,—,Pre-Seed,"Feb 15, 2023",—,1,—,creaitionis an interactive ai-based platform,Artificial Intelligence (AI),cre[ai]tion Artificial Intelligence (AI) startup website,,,"1,964",1000.0
Typst,2022,"Berlin, Berlin, Germany","Higher Education, Publishing,",1-10,1,—,Pre-Seed,"May 1, 2023",—,1,—,Write research papers and homework in the cloud. Focus on your text and let Typst take care of layout and formatting.,Higher Education,Typst Higher Education startup website,,,292,1000.0
bliro,"Apr 5, 2022","Munich, Bayern, Germany","Artificial Intelligence (AI), Software,",1-10,1,—,Pre-Seed,"Mar 10, 2023",—,—,—,Bliro listens to business meetings and calls invisibly and extracts essential information with the help of AI.,Artificial Intelligence (AI),bliro Artificial Intelligence (AI) startup website,,,,
fina,Oct 2020,"Berlin, Berlin, Germany","Financial Services, FinTech, Software,",11-50,1,—,Pre-Seed,"Oct 19, 2021",—,11,3,fina is the simplest wallet interface for beginners to start exploring crypto and DeFi safely.,Financial Services,fina Financial Services startup website,,"3,816",,755.0
Omnipeak.AI,2023,"Frankfurt An Der Oder, Brandenburg,","Artificial Intelligence (AI), Marketing,",11-50,1,—,Pre-Seed,"May 23, 2024",—,2,—,Omnipeak is an AI-powered software solution that automates account-based marketing campaigns.,Artificial Intelligence (AI),Omnipeak.AI Artificial Intelligence (AI) startup website,,14,,463.0
Feniska,2021,"Berlin, Berlin, Germany","Information Technology, Pet, Software",11-50,2,—,Pre-Seed,"Mar 17, 2024",—,1,—,Feniska is a software company that provides smart devices with an integrated app to monitor pet health.,Information Technology,Feniska Information Technology startup website,,,,
ECEON Robotics,2022,"Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Industrial Automation,,",11-50,1,—,Pre-Seed,"Mar 1, 2024",—,1,—,ECEON develops and operates next-generation autonomous mobile robots based on advanced artificial intelligence for intralogistics.,Artificial Intelligence (AI),ECEON Robotics Artificial Intelligence (AI) startup website,,,,202.0
Lamin Labs,2022,"Munich, Bayern, Germany","Biotechnology, Data Integration,",1-10,1,—,Pre-Seed,"Aug 22, 2022",—,3,—,Lamin Labs develops data infrastructure for biology that enables data scientists and engineers to collaborate on a single data layer.,Biotechnology,Lamin Labs Biotechnology startup website,,193,,344.0
Widgetbook,Jan 2022,"Paderborn, Nordrhein-Westfalen,",Software,1-10,2,—,Pre-Seed,"Feb 1, 2024",—,10,—,Widgetbook is an open source collaboration platform for designers and developers,Software,Widgetbook Software startup website,,"2,019",,2000.0
Kwest,2021,"Berlin, Berlin, Germany",Software,1-10,1,—,Pre-Seed,"Nov 29, 2021",—,3,4,"Renewable energy installers use Kwest to create visibility across their projects, optimize day-to-day operations, and automate manual tasks.",Software,Kwest Software startup website,,,,
credium,"Jun 2, 2020","Augsburg, Bayern, Germany","Analytics, Artificial Intelligence (AI),,,,,,",11-50,1,—,Pre-Seed,"Feb 24, 2021",—,1,—,credium is an AI-company that concentrates on building analytics.,Analytics,credium Analytics startup website,,,226,2000.0
WeSort.AI GmbH,"Oct 15, 2021","Würzburg, Bayern, Germany","Artificial Intelligence (AI), Recycling,",11-50,2,—,Pre-Seed,"Jan 15, 2023",—,—,—,AI and Sensor based waste sorting,Artificial Intelligence (AI),WeSort.AI GmbH Artificial Intelligence (AI) startup website,,,260,2000.0
Sub Capitals GmbH,2021,"Munich, Bayern, Germany","Artificial Intelligence (AI), Financial Services,,,",1-10,1,—,Pre-Seed,"Sep 15, 2021",—,1,6,"Sub Capitals vision is to bring more equality to the financial markets. To achieve this, they are enabling AI in every investment process.",Artificial Intelligence (AI),Sub Capitals GmbH Artificial Intelligence (AI) startup website,,,626,2000.0
IKOSIA,"Dec 14, 2023","Berlin, Berlin, Germany","Energy Efficiency, Marketplace,,",1-10,1,—,Pre-Seed,"Dec 15, 2023",—,1,—,"IKOSIA sits at the intersection of ClimateTech and PropTech, serving as a single-point-of-contact for energy renovation",Energy Efficiency,IKOSIA Energy Efficiency startup website,,,,
STRYZA,2022,"Berlin, Berlin, Germany","Manufacturing, SaaS, Software",1-10,1,—,Pre-Seed,"Aug 1, 2022",—,2,—,B2B SaaS Application for industrial manufacturing.,Manufacturing,STRYZA Manufacturing startup website,,,,1000.0
Aparkado,"Feb 7, 2020","Cologne, Nordrhein-Westfalen,","Logistics, Software, Supply Chain Management",11-50,1,—,Pre-Seed,"Oct 1, 2021",—,—,—,We launched the LKW.APP to empower truck drivers in their everyday life by leveraging an innovative app.,Logistics,Aparkado Logistics startup website,,,879,
Clypp,"Mar 24, 2020","Munich, Bayern, Germany","E-Learning, Information Services,,,,,",1-10,1,—,Pre-Seed,"Jun 1, 2022",—,1,1,Clypp empowers employees to share their knowledge through short video tutorials,E-Learning,Clypp E-Learning startup website,,,,
accessia,"Apr 19, 2022","Berlin, Berlin, Germany","Business Development, Productivity Tools,",1-10,1,—,Pre-Seed,"May 1, 2022",—,1,—,Track and manage software subscriptions,Business Development,accessia Business Development startup website,,969,,5000.0
Atem,2022,"Berlin, Berlin, Germany","CleanTech, Consulting, Software Engineering",11-50,1,—,Pre-Seed,"Oct 1, 2022",—,3,—,Atem offers tools for companies working with carbon credits at scale.,CleanTech,Atem CleanTech startup website,,,,
countX,"Nov 1, 2020","Berlin, Berlin, Germany","Financial Services, Software",11-50,1,—,Pre-Seed,"Apr 12, 2022",—,3,—,countX is an automated VAT compliance platform.,Financial Services,countX Financial Services startup website,,,,
Spreadly,"Sep 22, 2022","Munich, Bayern, Germany",Software,1-10,1,—,Pre-Seed,"Aug 31, 2023",—,—,—,Spreadly provides sustainable digital business cards for companies of any size.,Software,Spreadly Software startup website,,,,
ModelMe,"Jul 16, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,",1-10,2,—,Pre-Seed,"Jan 30, 2022",—,2,2,ModelMe is generative B2B software that digitises the creation of fashion visuals.,Artificial Intelligence (AI),ModelMe Artificial Intelligence (AI) startup website,,,534,6000.0
AVES Reality,2022,"Garmisch-partenkirchen, Bayern,","Artificial Intelligence (AI), Mapping Services,",1-10,1,—,Pre-Seed,"Apr 25, 2024",—,3,—,AVES Reality creates AI-based software that generates virtual 3D maps of any location using data such as satellite and overflight images.,Artificial Intelligence (AI),AVES Reality Artificial Intelligence (AI) startup website,,,,2000.0
RAKETENSTART,Jul 2021,"Cologne, Nordrhein-Westfalen,","Advice, Information Technology,,,,,,,",11-50,1,—,Pre-Seed,"Mar 22, 2023",—,5,1,RAKETENSTART is the all-in-one-legal solution for SMEs.,Advice,RAKETENSTART Advice startup website,,,"2,405",4000.0
