Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Tabular,2024,"Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),",1-10,1,"$500,000",Pre-Seed,"Sep 25, 2024","$500,000",1,—,Tabular is an automated accounting platform that uses AI assistant to perform core workflows of accounting firms.,Accounting,Tabular Accounting startup website,,,,
WAY.so,"Dec 22, 2022","Berlin, Berlin, Germany","Hardware, Software",1-10,1,"€1,200,000",Pre-Seed,"Feb 1, 2024","€1,200,000",16,—,"Saas, IT, Cybersecurity, HR, Compliance, Hardware",Hardware,WAY.so Hardware startup website,,,,
leonardo. impact,"Feb 16, 2023","Frankfurt, Hessen, Germany","Data Collection and Labeling, FinTech,,,,,",1-10,2,"$1,604,367",Pre-Seed,"Mar 1, 2024","$1,000,000",2,7,"AI-powered SaaS solution to streamline impact data collection, verification & reporting for impact investors and their portfolio companies.",Data Collection and Labeling,leonardo. impact Data Collection and Labeling startup website,,,,1000.0
Fuxam GmbH,"Dec 29, 2021","Berlin, Berlin, Germany","E-Learning, EdTech, Software",11-50,2,"€842,725",Pre-Seed,"Nov 21, 2023","€842,725",—,3,Fuxam is a software development company for educational institutions und e-learning.,E-Learning,Fuxam GmbH E-Learning startup website,,,197,1000.0
Dexter,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning,",1-10,1,"$500,000",Pre-Seed,"Dec 4, 2024","$500,000",1,—,Dexter is the AI workflow automation tool that is designed to automate and optimize ambiguous tasks.,Artificial Intelligence (AI),Dexter Artificial Intelligence (AI) startup website,,419,,14000.0
Alpha Sophia,"Jul 7, 2022","Cologne, Nordrhein-Westfalen,","Hospital, Information Technology,,,,",1-10,1,"$1,000,000",Pre-Seed,"May 9, 2023","$1,000,000",—,13,SaaS Healthcare Commercial Intelligence,Hospital,Alpha Sophia Hospital startup website,,154,54,2000.0
Bavest,2021,"Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Big Data,,,,,,",1-10,2,"€1,400,000",Pre-Seed,"Feb 5, 2024","€1,100,000",8,23,"Bavest's infrastructure enables access to financial data, alternative data and analyzes portfolios with AI.",Artificial Intelligence (AI),Bavest Artificial Intelligence (AI) startup website,,83,"2,829",1000.0
Yendou,Jul 2022,"Berlin, Berlin, Germany","Clinical Trials, Information Technology,,",1-10,1,"€1,200,000",Pre-Seed,"Feb 28, 2024","€1,200,000",2,9,"We make it unbelievably easy, for clinical operations teams, to manage site selection activities for oncology clinical trials.",Clinical Trials,Yendou Clinical Trials startup website,,,,2000.0
Raily,"Jun 2, 2021","Straßlach-dingharting, Bayern,","Artificial Intelligence (AI), Augmented Reality,,,",11-50,1,"€1,500,000",Pre-Seed,"Sep 19, 2023","€1,500,000",—,19,AI-driven travel ecosystem,Artificial Intelligence (AI),Raily Artificial Intelligence (AI) startup website,,98,36,796.0
ClimateChoice,Apr 2020,"Berlin, Berlin, Germany","B2B, Enterprise Software, Internet,,",11-50,2,"$2,000,000",Pre-Seed,"Mar 16, 2023","$2,000,000",4,3,ClimateChoice provides the AI-first Climate Intelligence Platform to accelerate Scope 3 decarbonization.,B2B,ClimateChoice B2B startup website,,362,886,17000.0
Fabrikatör - Virtual Head of Operations,"Jun 1, 2020","Berlin, Berlin, Germany","B2B, E-Commerce, Innovation Management,,,,",1-10,2,"€650,000",Pre-Seed,"Apr 4, 2023","€600,000",9,—,Equipping growing DTC brands with the modern retail and supply chain technology.,B2B,Fabrikatör - Virtual Head of Operations B2B startup website,,,,
Playbook® - Company AI,"Apr 1, 2022","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,,,,",11-50,1,"€960,000",Pre-Seed,"Dec 15, 2022","€960,000",5,—,To become the primary Company AI. The most capable and reliable enterprise resource.,Artificial Intelligence (AI),Playbook® - Company AI Artificial Intelligence (AI) startup website,,973,34.7K,6000.0
Elixion Medical,"Oct 1, 2021","Düsseldorf, Nordrhein-Westfalen,","Artificial Intelligence (AI), Health Care,,,",1-10,2,"€1,400,000",Pre-Seed,"May 9, 2023","€1,400,000",3,3,"Reduce care shortage with medical IoT devices, SaaS & AI",Artificial Intelligence (AI),Elixion Medical Artificial Intelligence (AI) startup website,,,,692.0
Otterspace,2022,"Berlin, Berlin, Germany",Software,1-10,1,"$3,700,000",Pre-Seed,"Jun 13, 2022","$3,700,000",35,—,Otterspace takes care of DAOs.,Software,Otterspace Software startup website,,"3,043",,
crowd.dev,"Jun 30, 2021","Berlin, Berlin, Germany","Communities, Developer Tools,,",11-50,1,"€2,200,000",Pre-Seed,"Oct 28, 2022","€2,200,000",9,1,crowd.dev is a open-source suite of community and data tools built to unlock community-led growth for organizations.,Communities,crowd.dev Communities startup website,,,,983.0
Mily Technologies,2021,"Munich, Bayern, Germany","B2B, Big Data, Delivery, Logistics,,",11-50,2,"€1,000,000",Pre-Seed,"Feb 27, 2023","€1,000,000",2,—,Delivery analytics made for parcel and postal operators,B2B,Mily Technologies B2B startup website,,,,
Chutney AI,"Jul 27, 2024","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"$300,000",Pre-Seed,"Sep 5, 2024","$300,000",—,—,AI workspace for sales engineers,Artificial Intelligence (AI),Chutney AI Artificial Intelligence (AI) startup website,,,,
Jobreel,"Feb 13, 2023","Berlin, Berlin, Germany","Employment, Human Resources,,,",1-10,1,"€560,000",Pre-Seed,"Dec 19, 2023","€560,000",1,—,Jobreel creates and operates a digital job-seeking platform for working students and fresh graduates.,Employment,Jobreel Employment startup website,,,"4,121",734.0
Scenarium AI,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"€1,600,000",Pre-Seed,"Nov 16, 2023","€1,600,000",2,—,"Scenarium AI is building the next generation of building design software, powered by AI.",Artificial Intelligence (AI),Scenarium AI Artificial Intelligence (AI) startup website,,,,
E-TERRY,"Apr 4, 2022","Erfurt, Thuringen, Germany","Agriculture, AgTech, Artificial Intelligence (AI),,,,",1-10,2,"€1,200,000",Pre-Seed,"Aug 26, 2022","€1,200,000",1,—,"E-TERRY builds an autonomous agricultural robot, designed to advance sustainable agriculture on a large scale through automation and AI.",Agriculture,E-TERRY Agriculture startup website,,,,
vGreens,2022,"Essen, Nordrhein-Westfalen, Germany","Agriculture, AgTech, Artificial Intelligence (AI),",11-50,1,"€1,050,000",Pre-Seed,"Jan 1, 2023","€1,050,000",4,6,vGreens develops fully automated & software-driven Indoor Vertical Farms enabling year-round sustainable fruit production near urban centers,Agriculture,vGreens Agriculture startup website,,,746,2000.0
CNDO,2023,"Berlin, Berlin, Germany",Web Development,1-10,1,"$1,000,000",Pre-Seed,"May 1, 2023","$1,000,000",7,3,CNDO is on a mission to change the way people connect and interact online.,Web Development,CNDO Web Development startup website,,10,10.2K,669.0
Artificient Mobility Intelligence,2021,"Aachen, Nordrhein-Westfalen,","Artificial Intelligence (AI), Auto Insurance,,,,,,",1-10,3,"$500,000",Pre-Seed,"Jun 9, 2023","$500,000",5,7,"Europe’s 1st Smart Driving App Powered by AI Computer Vision towards Safer, Greener and Smarter Mobility",Artificial Intelligence (AI),Artificient Mobility Intelligence Artificial Intelligence (AI) startup website,,13,,913.0
mika,2023,"Berlin, Berlin, Germany","Accounting, Document Management,,",1-10,1,"€800,000",Pre-Seed,"Jun 18, 2024","€800,000",1,—,"mika is an accounting solution firm that offers monthly bookkeeping, payroll, invoice management, and financial planning services.",Accounting,mika Accounting startup website,,,,2000.0
Konvi,"Jun 1, 2020","Berlin, Berlin, Germany","Asset Management, Crowdfunding,,,",1-10,3,"$900,000",Pre-Seed,"Mar 9, 2022","$900,000",8,19,"Konvi app is the European crowdfunding platform enabling partial ownership into high-yielding, luxury assets.",Asset Management,Konvi Asset Management startup website,,,,
Carelane,2023,"Bremen, Bremen, Germany","Health Care, Web Development",1-10,1,"€800,000",Pre-Seed,"Sep 1, 2023","€800,000",1,2,Carelane uses digital health technology to reduce inefficiencies in clinical trials.,Health Care,Carelane Health Care startup website,,,,
Claro,Jan 2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Software",1-10,1,"€100,000",Pre-Seed,"Jan 25, 2024","€100,000",1,—,AI Knowledge Infrastructure,Artificial Intelligence (AI),Claro Artificial Intelligence (AI) startup website,,7,,
