Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Productlane,"Jul 14, 2022","Munich, Bayern, Germany","Product Management, Product Research,,",1-10,1,"$825,000",Pre-Seed,"Jul 1, 2023","$825,000",10,1,The new standard for product discovery
Cloudsquid,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), FinTech,",1-10,1,"$1,000,000",Pre-Seed,"Nov 4, 2024","$1,000,000",4,3,is an an artificial intelligence based revenue orchestration company intended for companies with usage-based pricing models.
kolum.earth,2022,"Münster, Nordrhein-Westfalen,","Software, Web Development",1-10,1,"€2,100,000",Pre-Seed,"Jul 11, 2024","€2,100,000",12,2,Kolum is developing software that enables EU enterprises to become fully compliant with all Carbon Border Adjustment Mechanisms.
Spoke.ai (acq. by Salesforce),2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,",11-50,3,"€2,770,000",Pre-Seed,"Feb 23, 2023","€1,400,000",2,2,Spoke is the System of Intelligence for communication and tribal knowledge.
StratifAI,2023,"Dresden, Sachsen, Germany","Artificial Intelligence (AI), Health Care,",1-10,1,"€1,500,000",Pre-Seed,"Sep 2, 2024","€1,500,000",5,—,Enhancing treatment decision-making with AI-driven precision oncology
Bird Eats Bug,2020,"Berlin, Berlin, Germany","Collaboration, Developer Tools,,",1-10,1,"€1,500,000",Pre-Seed,"Jan 14, 2021","€1,500,000",1,5,Bird Eats Bug helps to report and fix bugs much faster.
Along,2022,"Berlin, Berlin, Germany",Software,1-10,1,"€1,000,000",Pre-Seed,"Sep 29, 2022","€1,000,000",14,6,The #1 buyer engagement platfporm
Tabular,2024,"Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),",1-10,1,"$500,000",Pre-Seed,"Sep 25, 2024","$500,000",1,—,Tabular is an automated accounting platform that uses AI assistant to perform core workflows of accounting firms.
WAY.so,"Dec 22, 2022","Berlin, Berlin, Germany","Hardware, Software",1-10,1,"€1,200,000",Pre-Seed,"Feb 1, 2024","€1,200,000",16,—,"Saas, IT, Cybersecurity, HR, Compliance, Hardware"
leonardo. impact,"Feb 16, 2023","Frankfurt, Hessen, Germany","Data Collection and Labeling, FinTech,,,,,",1-10,2,"$1,604,367",Pre-Seed,"Mar 1, 2024","$1,000,000",2,7,"AI-powered SaaS solution to streamline impact data collection, verification & reporting for impact investors and their portfolio companies."
Fuxam GmbH,"Dec 29, 2021","Berlin, Berlin, Germany","E-Learning, EdTech, Software",11-50,2,"€842,725",Pre-Seed,"Nov 21, 2023","€842,725",—,3,Fuxam is a software development company for educational institutions und e-learning.
Dexter,2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning,",1-10,1,"$500,000",Pre-Seed,"Dec 4, 2024","$500,000",1,—,Dexter is the AI workflow automation tool that is designed to automate and optimize ambiguous tasks.
Alpha Sophia,"Jul 7, 2022","Cologne, Nordrhein-Westfalen,","Hospital, Information Technology,,,,",1-10,1,"$1,000,000",Pre-Seed,"May 9, 2023","$1,000,000",—,13,SaaS Healthcare Commercial Intelligence
Bavest,2021,"Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Big Data,,,,,,",1-10,2,"€1,400,000",Pre-Seed,"Feb 5, 2024","€1,100,000",8,23,"Bavest's infrastructure enables access to financial data, alternative data and analyzes portfolios with AI."
Yendou,Jul 2022,"Berlin, Berlin, Germany","Clinical Trials, Information Technology,,",1-10,1,"€1,200,000",Pre-Seed,"Feb 28, 2024","€1,200,000",2,9,"We make it unbelievably easy, for clinical operations teams, to manage site selection activities for oncology clinical trials."
Raily,"Jun 2, 2021","Straßlach-dingharting, Bayern,","Artificial Intelligence (AI), Augmented Reality,,,",11-50,1,"€1,500,000",Pre-Seed,"Sep 19, 2023","€1,500,000",—,19,AI-driven travel ecosystem
ClimateChoice,Apr 2020,"Berlin, Berlin, Germany","B2B, Enterprise Software, Internet,,",11-50,2,"$2,000,000",Pre-Seed,"Mar 16, 2023","$2,000,000",4,3,ClimateChoice provides the AI-first Climate Intelligence Platform to accelerate Scope 3 decarbonization.
Fabrikatör - Virtual Head of Operations,"Jun 1, 2020","Berlin, Berlin, Germany","B2B, E-Commerce, Innovation Management,,,,",1-10,2,"€650,000",Pre-Seed,"Apr 4, 2023","€600,000",9,—,Equipping growing DTC brands with the modern retail and supply chain technology.
Playbook® - Company AI,"Apr 1, 2022","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,,,,",11-50,1,"€960,000",Pre-Seed,"Dec 15, 2022","€960,000",5,—,To become the primary Company AI. The most capable and reliable enterprise resource.
Elixion Medical,"Oct 1, 2021","Düsseldorf, Nordrhein-Westfalen,","Artificial Intelligence (AI), Health Care,,,",1-10,2,"€1,400,000",Pre-Seed,"May 9, 2023","€1,400,000",3,3,"Reduce care shortage with medical IoT devices, SaaS & AI"
Otterspace,2022,"Berlin, Berlin, Germany",Software,1-10,1,"$3,700,000",Pre-Seed,"Jun 13, 2022","$3,700,000",35,—,Otterspace takes care of DAOs.
crowd.dev,"Jun 30, 2021","Berlin, Berlin, Germany","Communities, Developer Tools,,",11-50,1,"€2,200,000",Pre-Seed,"Oct 28, 2022","€2,200,000",9,1,crowd.dev is a open-source suite of community and data tools built to unlock community-led growth for organizations.
Mily Technologies,2021,"Munich, Bayern, Germany","B2B, Big Data, Delivery, Logistics,,",11-50,2,"€1,000,000",Pre-Seed,"Feb 27, 2023","€1,000,000",2,—,Delivery analytics made for parcel and postal operators
Chutney AI,"Jul 27, 2024","Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"$300,000",Pre-Seed,"Sep 5, 2024","$300,000",—,—,AI workspace for sales engineers
Jobreel,"Feb 13, 2023","Berlin, Berlin, Germany","Employment, Human Resources,,,",1-10,1,"€560,000",Pre-Seed,"Dec 19, 2023","€560,000",1,—,Jobreel creates and operates a digital job-seeking platform for working students and fresh graduates.
Scenarium AI,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"€1,600,000",Pre-Seed,"Nov 16, 2023","€1,600,000",2,—,"Scenarium AI is building the next generation of building design software, powered by AI."
E-TERRY,"Apr 4, 2022","Erfurt, Thuringen, Germany","Agriculture, AgTech, Artificial Intelligence (AI),,,,",1-10,2,"€1,200,000",Pre-Seed,"Aug 26, 2022","€1,200,000",1,—,"E-TERRY builds an autonomous agricultural robot, designed to advance sustainable agriculture on a large scale through automation and AI."
vGreens,2022,"Essen, Nordrhein-Westfalen, Germany","Agriculture, AgTech, Artificial Intelligence (AI),",11-50,1,"€1,050,000",Pre-Seed,"Jan 1, 2023","€1,050,000",4,6,vGreens develops fully automated & software-driven Indoor Vertical Farms enabling year-round sustainable fruit production near urban centers
CNDO,2023,"Berlin, Berlin, Germany",Web Development,1-10,1,"$1,000,000",Pre-Seed,"May 1, 2023","$1,000,000",7,3,CNDO is on a mission to change the way people connect and interact online.
Artificient Mobility Intelligence,2021,"Aachen, Nordrhein-Westfalen,","Artificial Intelligence (AI), Auto Insurance,,,,,,",1-10,3,"$500,000",Pre-Seed,"Jun 9, 2023","$500,000",5,7,"Europe’s 1st Smart Driving App Powered by AI Computer Vision towards Safer, Greener and Smarter Mobility"
mika,2023,"Berlin, Berlin, Germany","Accounting, Document Management,,",1-10,1,"€800,000",Pre-Seed,"Jun 18, 2024","€800,000",1,—,"mika is an accounting solution firm that offers monthly bookkeeping, payroll, invoice management, and financial planning services."
Konvi,"Jun 1, 2020","Berlin, Berlin, Germany","Asset Management, Crowdfunding,,,",1-10,3,"$900,000",Pre-Seed,"Mar 9, 2022","$900,000",8,19,"Konvi app is the European crowdfunding platform enabling partial ownership into high-yielding, luxury assets."
Carelane,2023,"Bremen, Bremen, Germany","Health Care, Web Development",1-10,1,"€800,000",Pre-Seed,"Sep 1, 2023","€800,000",1,2,Carelane uses digital health technology to reduce inefficiencies in clinical trials.
Claro,Jan 2024,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Software",1-10,1,"€100,000",Pre-Seed,"Jan 25, 2024","€100,000",1,—,AI Knowledge Infrastructure
eaze,2022,"Berlin, Berlin, Germany","Apps, Health Care, Mobile Apps,,",11-50,3,"€1,700,000",Pre-Seed,"Jul 6, 2023","€1,700,000",32,—,eaze is a holistic digital program focused on providing solutions for sleep problems through CBT & personal coaching.
FINDIQ,2022,"Herford, Nordrhein-Westfalen,","Knowledge Management, Service Industry,",1-10,1,"€1,000,000",Pre-Seed,"Jun 28, 2023","€1,000,000",6,—,FINDIQ created a unique technique to intelligently combine knowledge management and help systems for machine service.
Fanblast,"Jan 2, 2021","Hamburg, Hamburg, Germany","Content Creators, SaaS, Social CRM",11-50,1,"€1,400,000",Pre-Seed,"Dec 22, 2021","€1,400,000",—,—,Fanblast is a SaaS for creators and brands to engage and monetize fans in the most authentic way.
Notch,2021,"Hamburg, Hamburg, Germany","B2B, Consumer Software, Information Technology,",1-10,1,"€1,100,000",Pre-Seed,"Jun 26, 2023","€1,100,000",11,—,The simplest way to create and share interactive sales documents.
Flash,"Oct 14, 2021","Berlin, Berlin, Germany","Apps, E-Commerce, Internet, Mobile Payments,,",1-10,1,"€500,000",Pre-Seed,"Oct 14, 2021","€500,000",1,1,Flash helps brands create the mobile shopping for their customers in both the digital and the physicalworld.
Preventio,"Sep 21, 2021","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Chemical,,,,,,",11-50,1,"€1,350,000",Pre-Seed,"Apr 4, 2022","€1,350,000",6,1,Preventio is an AI-based solution that specializes in identifying and preventing pipe damages.
Explo,"Aug 18, 2021","Kiel, Schleswig-Holstein, Germany","Artificial Intelligence (AI), News,,,",1-10,2,"€760,000",Pre-Seed,"Aug 7, 2024","€260,000",—,—,Software for publishers to retain readers and increase digital revenue.
Synapze,Apr 2021,"Landshut, Bayern, Germany","Banking, Compliance, Financial Services,,,",1-10,3,"€500,000",Pre-Seed,"Jun 18, 2024","€50,000",2,—,"Makers of TinyAI - a cost effective, privacy compliant AI that can be on-prem / cloud for efficient process automation."
Vickii,Apr 2022,"Münster, Nordrhein-Westfalen,","Apps, Finance, FinTech, News,",11-50,1,"€1,200,000",Pre-Seed,"Sep 5, 2023","€1,200,000",8,—,Vickii is the platform that enables self-directed investing by providing access to relevant information.
resourcly,2023,"Mannheim, Baden-Wurttemberg,","Artificial Intelligence (AI), GreenTech,,,,",1-10,2,"$120,000",Pre-Seed,"Oct 9, 2023","$120,000",2,7,Resourcly helps manufacturers improve working capital with their shared inventory OS by leveraging product data and AI.
limbiq.com,2020,"Duisburg, Nordrhein-Westfalen,","E-Commerce, Logistics, SaaS,,",1-10,3,"€1,500,000",Pre-Seed,"Feb 24, 2023","€1,000,000",9,—,limbiq.com is AI-driven supply chain management SaaS platform to digitize collaboration across company borders
Dudoxx,"Sep 1, 2023","Hamburg, Hamburg, Germany","Health Care, Medical Device, Software Engineering",1-10,1,"€400,000",Pre-Seed,"Jan 3, 2024","€400,000",—,—,Streamline Medical Documentation With Dudoxx
Novaheal,2021,"Bochum, Nordrhein-Westfalen,","E-Learning, Nursing and Residential Care,",11-50,3,"€565,000",Pre-Seed,"May 3, 2023","€560,000",12,2,Novaheal is a learning platform for trainees and young professionals in nursing.
Heylama,Aug 2021,"Berlin, Berlin, Germany","Corporate Training, EdTech, Education,,",1-10,2,"€650,000",Pre-Seed,"Sep 10, 2022","€550,000",1,—,Build interactive AI conversational learning flows with a few instructions. A powerful chat interface to learn and practice anything.
a2zebra,2022,"Berlin, Berlin, Germany","E-Learning, Education",1-10,1,"$500,000",Pre-Seed,"Apr 3, 2024","$500,000",8,6,a2zebra is a zebra company that specializes in instructional technology for elementary school kids.
EINSTEIN,"Jan 1, 2024","Heidelberg, Baden-Wurttemberg,","Artificial Intelligence (AI), Generative AI,",1-10,1,"€500,000",Pre-Seed,"Jan 1, 2024","€500,000",—,—,"Vision Language Foundation Model, Agentic Process Automatization, Robotic Process Automatization"
Hortiya,Jun 2020,"Duisburg, Nordrhein-Westfalen,","Agriculture, AgTech, Artificial Intelligence (AI),,,,,,",1-10,1,"€1,000,000",Pre-Seed,"Apr 1, 2022","€1,000,000",—,2,IT Services and IT Consulting
DingoDot,"Feb 4, 2021","Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),,,,,,,,",11-50,2,"€507,000",Pre-Seed,"Mar 11, 2021","€500,000",3,3,Virtual CFO for SMBs: Time is Money. Get Both. Automate payments nad make cash work. #fintech #SaaS #AI #crypto #B2B #openbanking #PSD2
Coleap,Apr 2021,"Berlin, Berlin, Germany","E-Learning, EdTech, Education",11-50,1,"€2,760,000",Pre-Seed,"Apr 28, 2021","€2,760,000",2,—,Coleap is a social commerce platform for professional upskilling.
muffintech,2021,"Berlin, Berlin, Germany","Financial Services, Generative AI,,",11-50,1,"$120,000",Pre-Seed,"Aug 25, 2022","$120,000",1,—,"muffintech is innovating the insurance industry with conversational AI, enhancing customer interactions and operational efficiency."
Rocket Tutor,"Jul 14, 2022","Munich, Bayern, Germany","Apps, Artificial Intelligence (AI),,",1-10,2,"€1,000,000",Pre-Seed,"Oct 16, 2023","€1,000,000",3,—,Rocket Tutor creates learning strategies for arithmetic students based on their specific requirements.
Halitus,"Jul 17, 2021","Berlin, Berlin, Germany","Health Diagnostics, Information Technology,,",1-10,2,"€1,000,000",Pre-Seed,"Jul 5, 2023","€1,000,000",8,—,"Early disease detection with a portable, simple-to-use device. Turning air into data. Mixed Hardware + SaaS"
Hello Pine,Jan 2023,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), E-Commerce,",1-10,1,"€400,000",Pre-Seed,"Aug 1, 2023","€400,000",1,—,AI-powered multichannel software tailored to the needs of tomorrow’s direct-to-consumer brands.
Genaios,"Oct 1, 2023","Nuremberg, Bayern, Germany","Artificial Intelligence (AI), Education,,",11-50,1,"€10,000,000",Pre-Seed,"Oct 1, 2023","€10,000,000",1,8,"AI powered fact-checker, AI detector and Originality Scanner"
AGX World,"Sep 1, 2021","Berlin, Berlin, Germany","Data Integration, Information Technology,,,",11-50,1,"$2,500,000",Pre-Seed,"Sep 10, 2022","$2,500,000",1,—,AGX is building a global collaboration platform for the logistics industry. We replace emails & Excel between the often 15 parties involved.
Hyperaktiv.ai,"Sep 28, 2021","Berlin, Berlin, Germany","Analytics, Big Data, Business Intelligence,,,",1-10,1,"€550,000",Pre-Seed,"Feb 15, 2022","€550,000",4,1,"Growth copilot for PLG SaaS - Segment, activate & convert your users"
SILX,"Jan 1, 2024","Berlin, Berlin, Germany","Recruiting, Software",1-10,1,"$1,500,000",Pre-Seed,"Feb 3, 2024","$1,500,000",1,—,"Simplifying Applications for All - A user-friendly platform revolutionizing the application process. Effortlessly create, manage, and review"
unea,2021,"Berlin, Berlin, Germany","Enterprise Software, SaaS, Software",11-50,1,"$2,300,000",Pre-Seed,"Feb 22, 2022","$2,300,000",11,—,"unea is a platform for business collaborations, bookings, and payments."
Vivian Lab,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,",11-50,1,"€300,000",Pre-Seed,"Sep 18, 2024","€300,000",1,—,Vivian Lab is a women's digital health startup.
l1r1,"Sep 30, 2021","Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),",11-50,1,"€1,300,000",Pre-Seed,"Oct 30, 2022","€1,300,000",3,—,Developing heylara.de the first Conversation Business Automation (CBA) solution
Februar,2022,"Berlin, Berlin, Germany","Bitcoin, Cryptocurrency, FinTech,,",1-10,1,"€1,500,000",Pre-Seed,"Oct 31, 2022","€1,500,000",10,1,Februar provides payment infrastructure for Web3 and digital payments.
ACTIMI,"Jun 30, 2021","Stuttgart, Baden-Wurttemberg,","Health Care, Medical Device, Software",11-50,2,"€378,000",Pre-Seed,"Oct 4, 2021","€200,000",—,—,ACTIMI develops a remote patient monitoring platform for chronic diseases.
DLT (short for data load tool),"Jul 20, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Open Source",1-10,1,"$1,500,000",Pre-Seed,"Jul 20, 2023","$1,500,000",3,—,"DLT short for data load tool building exactly that open-source python library that it claims, is designed for this new wave of AI."
Fliz,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",1-10,1,"€100,000",Pre-Seed,"Apr 22, 2024","€100,000",1,—,Fliz is a fintech company that provides users with a secure online payment platform that is free of any additional fees.
Tyles,2022,"Berlin, Berlin, Germany",Software,1-10,2,"€1,400,000",Pre-Seed,"Sep 21, 2022","€1,400,000",11,2,Tyles is a software startup that helps users harness information more efficiently and effectively.
Remi,2021,"Berlin, Berlin, Germany","Computer, Software",1-10,1,"€1,200,000",Pre-Seed,"Jun 16, 2021","€1,200,000",8,3,"The culture building platform to help remote teams build connection, easily and effectively. Join the waitlist."
Companyon Analytics,2020,"Düsseldorf, Nordrhein-Westfalen,","Accounting, Analytics, Consulting,,,,,",11-50,1,"€2,000,000",Pre-Seed,"Sep 21, 2023","€2,000,000",1,—,"Companyon Analytics provides data security, cloud infrastructure, information technology, technical solutions, and consultancy services."
KINNOVIA,"May 10, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), Automotive,,,,,,",51-100,1,"$200,000",Pre-Seed,"Oct 1, 2024","$200,000",—,1,"Kinnovia offers services in Internet of Things (IoT), Software Defined Vehicle (SDV) and Industry 4.0"
freque,"Mar 22, 2021","Potsdam, Brandenburg, Germany","Film, Music, Software",1-10,2,"€1,200,000",Pre-Seed,"Feb 1, 2024",—,1,3,Music Review For Filmmakers
score4more,"Jan 7, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,,,",11-50,1,"€1,500,000",Pre-Seed,"Jan 16, 2022","€1,500,000",—,1,"Transformation Platform, Data Platform, Impact, Sustainability Profiles, Scoring, Benchmarking, Solutions, ESG Data"
charly,Oct 2020,"Berlin, Berlin, Germany","Compliance, Developer Tools,,,,",11-50,2,"$1,553,523",Pre-Seed,"May 1, 2022","€1,000,000",1,1,Charly Group created a hybrid work management framework for individual work levels.
Meetsales,"Dec 10, 2020","Berlin, Berlin, Germany","B2B, Data Visualization, Direct Sales,,,,,,,",1-10,1,"€800,000",Pre-Seed,"Jun 15, 2021","€800,000",8,—,Meetsales - the only headless video-based web app your B2B sales team needs
heyLisa.ai,Sep 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,,,,,,",1-10,1,"€100,000",Pre-Seed,"Sep 30, 2023","€100,000",1,—,Lisa edits real-time based on your feedback and commands — just text her.
Leeana,"Feb 7, 2023","Munich, Bayern, Germany","GreenTech, Software, Sustainability",1-10,1,"$125,000",Pre-Seed,"Jun 3, 2024","$125,000",1,1,The biodiversity platform for the next generation of nature-related action
DataBorg,2020,"Hamburg, Hamburg, Germany","Analytics, Artificial Intelligence (AI),,",1-10,2,"$550,000",Pre-Seed,"Feb 15, 2024","$500,000",1,—,"DataBorg - Better Data, Smarter AIs. Foundation models turning unstructured data into structured data."
HeyTimi,"Nov 12, 2020","Munich, Bayern, Germany","EdTech, Education",51-100,2,"€1,300,000",Pre-Seed,"Mar 17, 2022","€1,200,000",2,—,HeyTimi empowers tutors and students to have the most exceptional online learning experience through their tutoring application
Savvi HR,"Jan 4, 2022","Potsdam, Brandenburg, Germany","E-Learning, Human Resources",11-50,2,"€1,175,000",Pre-Seed,"Dec 20, 2023","€700,000",—,—,Savvi is the corporate learning platform you Young Talents' future-critical skills
topshelf,2023,"Berlin, Berlin, Germany","Beauty, Cosmetics, E-Commerce,",1-10,1,"$100,000",Pre-Seed,"Nov 27, 2023","$100,000",1,—,topshelf is building an AI-powered review app for the most honest reviews.
Keaz,"Mar 7, 2023","Berlin, Berlin, Germany","Advertising, Marketing, Software",1-10,1,"$518,700",Pre-Seed,"May 5, 2023","$518,700",—,—,One tool that empowers local businesses to master their online marketing.
Papayo,2024,"Munich, Bayern, Germany","Artificial Intelligence (AI), Human Resources,",1-10,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,Papayo provides AI tools that help HR and recruitment teams boost productivity and improve work-life balance.
Converta,May 2023,"Berlin, Berlin, Germany","B2B, Point of Sale, SaaS",1-10,1,"€170,000",Pre-Seed,"May 26, 2023","€170,000",1,—,Converta guides B2B sales managers through their weekly pipeline review meetings and highlights.
Semorai,"Nov 24, 2022","Heilbronn, Baden-Wurttemberg,","Artificial Intelligence (AI), Service Industry,",1-10,1,"€200,000",Pre-Seed,"May 9, 2023","€200,000",2,—,Semorai - more freedom for engineers
Telekinesis,2020,"Darmstadt, Hessen, Germany","Artificial Intelligence (AI), Machine Learning,",1-10,1,"$20,000",Pre-Seed,"Jun 30, 2023","$20,000",1,—,Telekinesis is an AI technology developer that enables robots to learn autonomously from videos through Visual Robot Programming.
IvyCheck,2022,"Berlin, Berlin, Germany","B2B, Cyber Security, Data Management,",1-10,1,"$500,000",Pre-Seed,"Sep 7, 2022","$500,000",1,—,IvyCheck is a AI driven cybersecurity company that offers enterprise teams a tool for extracting hidden insights from data.
Epapa,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), EdTech,",1-10,1,"€87,000",Pre-Seed,"Oct 1, 2022","€87,000",1,—,Epapa | An AI-powered learning App for activating abstract thinking in everyone
Aimars,2023,"Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,"€100,000",Pre-Seed,"Aug 18, 2023","€100,000",1,—,Aimars is an AI-driven sales optimization platform that helps businesses understand their customers better by analyzing data.
Meaningful,2024,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,,",1-10,1,"€100,000",Pre-Seed,"Mar 5, 2024","€100,000",1,—,Supercharge your market research.
Sanos Group,2020,"Berlin, Berlin, Germany","Consumer Applications, Health Care",11-50,1,"€250,000",Pre-Seed,"Jan 7, 2020","€250,000",—,—,Technology enabled smoking cessation platform
Goldn,"Feb 1, 2021","Heidelberg, Baden-Wurttemberg,","Chemical, Cosmetics, SaaS",11-50,1,"€1,200,000",Pre-Seed,"Oct 31, 2021","€1,200,000",—,2,Goldn provides a digital ecosystem connecting brands and suppliers in order to optimize the cosmetics production workflow.
Effinigo,"Jan 16, 2023","Saarbrücken, Saarland, Germany","Commercial Real Estate, Facility Management,,,,,,",1-10,1,"€400,000",Pre-Seed,"May 1, 2023","€400,000",1,—,Effinigo optimizes the energy efficiency in non-residential buildings by providing easily retrofittable IoT solutions
amply,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",11-50,1,"€170,000",Pre-Seed,"Mar 14, 2023","€170,000",1,—,Amply offers a workspace for small and medium-sized businesses (SMBs) to handle their various financial tasks in a single location.
Deltologic,"Aug 1, 2020","Berlin, Berlin, Germany","Information Technology, Sales Automation,",11-50,1,"$500,000",Pre-Seed,"Jan 18, 2023","$500,000",1,—,Deltologic is a software development agency on a mission to take marketplace businesses to the next level through software and automation.
Creatext,Jan 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,,,",1-10,1,"$120,000",Pre-Seed,"Jan 25, 2021","$120,000",1,—,Creatext is a Berlin-based team of AI engineers building a “GitHub Copilot for salespeople”.
Snaplet,2020,"Berlin, Berlin, Germany","Database, Information Technology,",1-10,2,"$100,000",Pre-Seed,"Nov 4, 2022",—,3,1,"Snaplet is a tool for developers that copies a Postgres database, transforming personal information, to safely code against actual data."
Univents,"Nov 11, 2021","Marbach Am Neckar, Baden-Wurttemberg,","Catering, Concerts, Event Management,,,,,,,",1-10,1,"€200,000",Pre-Seed,"Feb 12, 2023","€200,000",—,—,Univents is a modern event technology SaaS that saves event managers half their time in event planning.
