Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Mimetik,2020,"Dresden, Sachsen, Germany",Software,1-10,1,—,Pre-Seed,"Jan 25, 2021",—,1,1,Mimetik is s a software startup for seamless interactions with millions of devices.
priofy,"Jan 1, 2024","Erfurt, Thuringen, Germany","Financial Services, Software",1-10,1,—,Pre-Seed,"Jan 1, 2024",—,—,—,SaaS based project and financial management software: Efficiently manage the finances and costs of all your projects – in one place.
Mate Software GmbH,2020,"Bielefeld, Nordrhein-Westfalen,","Marketing, Software",11-50,1,—,Pre-Seed,"Aug 1, 2022",—,—,1,"We enable marketers, agencies and all other human beings to produce awesome content – without any design effort."
Intentify,2022,"Cologne, Nordrhein-Westfalen,","Software, Web Development",1-10,1,—,Pre-Seed,"Feb 14, 2024",—,3,—,Intentify is dApps' intent-centric middle layer.
Hotelbuuk Technologies,"Jan 4, 2022","Berlin, Berlin, Germany","Food Delivery, Hospitality, Hotel,,,,",1-10,1,—,Pre-Seed,"Feb 1, 2022",—,—,—,Book Hotels that offer market insights
Superbryte,2021,"Berlin, Berlin, Germany","Consulting, Education, Software,",—,1,—,Pre-Seed,"Sep 20, 2021",—,1,—,"Superbryte we are building a universal, digital suite for coaches, teachers, educators and instructors."
vCOACH,"Jan 1, 2020","Munich, Bayern, Germany","Mobile Apps, Software",1-10,1,—,Pre-Seed,"May 17, 2021",—,4,2,vCOACH helps in building a consumer mobile app for getting access to personal skill improvement.
MeTalent,"Sep 14, 2022","Stuttgart, Baden-Wurttemberg,","Automotive, Education, Finance,,,,,",1-10,1,—,Pre-Seed,"Jul 16, 2023",—,1,—,"We are a group of ambitious Ukrainians, who created a platform to quickly and simply bind businesses and talents from IT"
Shiawa,2021,"Stuttgart, Baden-Wurttemberg,","Apps, Mobile Apps, Software",1-10,1,—,Pre-Seed,"Jan 1, 2022",—,1,—,"SHIAWA GmbH offers web-based solutions for office management, including desk booking and meeting organization."
goCAD,"Sep 6, 2021","Stuttgart, Baden-Wurttemberg,","E-Commerce Platforms, Manufacturing,,",1-10,1,—,Pre-Seed,"Oct 5, 2021",—,1,—,The plug & play SaaS order portal for CNC manufacturers with instant price quotes.
eye2you,"Apr 21, 2020","Tübingen, Baden-Wurttemberg,","Artificial Intelligence (AI), Health Care,,",1-10,1,—,Pre-Seed,"May 1, 2021",—,—,—,eye2you is a medical AI for retinal examinations.
HumanAIze,"Mar 28, 2022","Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,—,Pre-Seed,"Oct 6, 2022",—,1,—,HumanAIze offers empathetic AI to unlock the power of people and culture.
up.lftd,"Jul 20, 2021","Berlin, Berlin, Germany","Human Resources, SaaS, Software",1-10,1,—,Pre-Seed,"Dec 13, 2021",—,1,—,"SaaS for feedback, performance management and people development"
Swap Kiwi,2021,"Munich, Bayern, Germany","Blockchain, Cryptocurrency, Financial Services,,",—,1,—,Pre-Seed,"Oct 10, 2021",—,1,—,Swap Kiwi is an NFT swapping platform that aims to make NFT exchanges simpler.
Ecola Climo,Apr 2020,"Berlin, Berlin, Germany","Apps, Information Technology,",1-10,1,—,Pre-Seed,"Jun 1, 2020",—,—,—,With Ecola you can subscribe to climate action and start generating impact straight away.
nextx,2021,"Heidelberg, Baden-Wurttemberg,","Artificial Intelligence (AI), Career Planning,,",11-50,1,—,Pre-Seed,"Nov 2, 2022",—,1,—,Real career orientation and sustainable recruiting
Civical,"Nov 27, 2020","Moabit, Berlin, Germany","Data Integration, Data Visualization,,,,,,",1-10,1,—,Pre-Seed,"Feb 7, 2021",—,2,—,Civical is SaaS market leader in Germany for politics and non-profit
DataPulse Research,Sep 2023,"Berlin, Berlin, Germany","Data Visualization, Digital Media",1-10,1,—,Pre-Seed,"Jun 23, 2024",—,2,—,DataPulse Research is an independent research institute that publishes data driven studies and infographics.
klaep,"Jun 2, 2021","Freiburg, Baden-Wurttemberg,","Android, Information Technology,,,,,,,,",1-10,1,—,Pre-Seed,"Jul 1, 2021",—,2,—,Mobile Music Collaboration App
CLUP.life GmbH,"May 9, 2022","Berlin, Berlin, Germany","Information Technology, Internet,,",1-10,1,—,Pre-Seed,"Oct 1, 2022",—,—,1,"CLUP.life is a social network for community clubs, associations and its members and makes messenger services interoperable"
propertunity.ai,"Oct 4, 2021","Frankfurt, Hessen, Germany",Artificial Intelligence (AI),1-10,1,—,Pre-Seed,"Oct 14, 2021",—,1,—,The world's first tool for automated property search for real estate development based on artificial intelligence
oestreicher,"Oct 18, 2021","Heidenheim, Baden-Wurttemberg,","Artificial Intelligence (AI), EdTech,,",1-10,1,—,Pre-Seed,"Nov 1, 2021",—,—,—,EdTech Services for Children
Hidden Smiles,"Aug 2, 2022","Berlin, Berlin, Germany","Enterprise Software, Human Resources,,",1-10,1,—,Pre-Seed,"Oct 20, 2022",—,1,—,"Hidden Smiles is a SaaS solution that helps individuals feel valued and appreciated for their work, regardless of where they do it."
Alethea,2021,"Düsseldorf, Nordrhein-Westfalen,",Software,1-10,1,—,Pre-Seed,"Jan 11, 2021",—,1,4,Workflow software for the corporate finance industry
Coinformation,2021,"Düsseldorf, Nordrhein-Westfalen,","Financial Services, Information Technology,,",1-10,1,—,Pre-Seed,"Oct 12, 2021",—,—,—,Coinformation brings transparency into the crypto world to help its customers make better investment decisions.
Value Cloud,"Oct 25, 2021","Kaiserslautern, Rheinland-Pfalz,","Artificial Intelligence (AI), Cloud Management,,",1-10,1,—,Pre-Seed,"Oct 25, 2021",—,1,—,We stand for holistic value creation with open source cloud and AI technology.
Clustered,May 2021,"Berlin, Berlin, Germany","Business Development, Communities,,",1-10,1,—,Pre-Seed,"Nov 20, 2021",—,—,—,We're making learning social.
Hatchmate UG (haftungsbeschränkt),"Oct 13, 2020","Villingen-schwenningen, Baden-Wurttemberg,","Apps, Software",1-10,1,—,Pre-Seed,"Oct 13, 2020",—,—,—,Social Video Networking App
Jungle Program,2020,"Berlin, Berlin, Germany","Corporate Training, Education,,",1-10,2,—,Pre-Seed,"Sep 1, 2021",—,1,—,Jungle Program helps guide developers through their technical challenges.
Perkio,2021,"Berlin, Berlin, Germany",Software,1-10,1,—,Pre-Seed,"Dec 17, 2021",—,1,—,Perkio is a platform that helps companies and employees create and improve wellbeing while keeping personal data anonymized.
Vilosia,2022,"Halle, Sachsen-Anhalt, Germany","Generative AI, Information Technology,,",1-10,2,—,Pre-Seed,"Mar 10, 2024",—,—,—,Vilosia helps medium and large enterprises with internal development teams migrate legacy software systems.
Retalos,2020,"Berlin, Berlin, Germany","Information Technology, Retail,",1-10,1,—,Pre-Seed,"Aug 1, 2021",—,—,—,The Next Step for Retail Technology
valideffect,2020,"Aachen, Nordrhein-Westfalen,","Industrial, Information Technology,,,,",1-10,1,—,Pre-Seed,"Jul 1, 2020",—,1,—,valideffect: SaaS platform for the digital assurance of personal industrial qualifications
