Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Tyles,2022,"Berlin, Berlin, Germany",Software,1-10,2,"€1,400,000",Pre-Seed,"Sep 21, 2022","€1,400,000",11,2,Tyles is a software startup that helps users harness information more efficiently and effectively.,Software,Tyles Software startup website,,45.4K,27.6K,114000.0
Remi,2021,"Berlin, Berlin, Germany","Computer, Software",1-10,1,"€1,200,000",Pre-Seed,"Jun 16, 2021","€1,200,000",8,3,"The culture building platform to help remote teams build connection, easily and effectively. Join the waitlist.",Computer,Remi Computer startup website,,,,4000.0
Companyon Analytics,2020,"Düsseldorf, Nordrhein-Westfalen,","Accounting, Analytics, Consulting,,,,,",11-50,1,"€2,000,000",Pre-Seed,"Sep 21, 2023","€2,000,000",1,—,"Companyon Analytics provides data security, cloud infrastructure, information technology, technical solutions, and consultancy services.",Accounting,Companyon Analytics Accounting startup website,,,,1000.0
KINNOVIA,"May 10, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), Automotive,,,,,,",51-100,1,"$200,000",Pre-Seed,"Oct 1, 2024","$200,000",—,1,"Kinnovia offers services in Internet of Things (IoT), Software Defined Vehicle (SDV) and Industry 4.0",Artificial Intelligence (AI),KINNOVIA Artificial Intelligence (AI) startup website,,,,11000.0
freque,"Mar 22, 2021","Potsdam, Brandenburg, Germany","Film, Music, Software",1-10,2,"€1,200,000",Pre-Seed,"Feb 1, 2024",—,1,3,Music Review For Filmmakers,Film,freque Film startup website,,27,134,325.0
score4more,"Jan 7, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,,,",11-50,1,"€1,500,000",Pre-Seed,"Jan 16, 2022","€1,500,000",—,1,"Transformation Platform, Data Platform, Impact, Sustainability Profiles, Scoring, Benchmarking, Solutions, ESG Data",Artificial Intelligence (AI),score4more Artificial Intelligence (AI) startup website,,,,1000.0
charly,Oct 2020,"Berlin, Berlin, Germany","Compliance, Developer Tools,,,,",11-50,2,"$1,553,523",Pre-Seed,"May 1, 2022","€1,000,000",1,1,Charly Group created a hybrid work management framework for individual work levels.,Compliance,charly Compliance startup website,,"1,228",,3000.0
Meetsales,"Dec 10, 2020","Berlin, Berlin, Germany","B2B, Data Visualization, Direct Sales,,,,,,,",1-10,1,"€800,000",Pre-Seed,"Jun 15, 2021","€800,000",8,—,Meetsales - the only headless video-based web app your B2B sales team needs,B2B,Meetsales B2B startup website,,,,
heyLisa.ai,Sep 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,,,,,,,",1-10,1,"€100,000",Pre-Seed,"Sep 30, 2023","€100,000",1,—,Lisa edits real-time based on your feedback and commands — just text her.,Artificial Intelligence (AI),heyLisa.ai Artificial Intelligence (AI) startup website,,,"1,100",82.0
Leeana,"Feb 7, 2023","Munich, Bayern, Germany","GreenTech, Software, Sustainability",1-10,1,"$125,000",Pre-Seed,"Jun 3, 2024","$125,000",1,1,The biodiversity platform for the next generation of nature-related action,GreenTech,Leeana GreenTech startup website,,,,2000.0
DataBorg,2020,"Hamburg, Hamburg, Germany","Analytics, Artificial Intelligence (AI),,",1-10,2,"$550,000",Pre-Seed,"Feb 15, 2024","$500,000",1,—,"DataBorg - Better Data, Smarter AIs. Foundation models turning unstructured data into structured data.",Analytics,DataBorg Analytics startup website,,19,,76.0
HeyTimi,"Nov 12, 2020","Munich, Bayern, Germany","EdTech, Education",51-100,2,"€1,300,000",Pre-Seed,"Mar 17, 2022","€1,200,000",2,—,HeyTimi empowers tutors and students to have the most exceptional online learning experience through their tutoring application,EdTech,HeyTimi EdTech startup website,,,,
Savvi HR,"Jan 4, 2022","Potsdam, Brandenburg, Germany","E-Learning, Human Resources",11-50,2,"€1,175,000",Pre-Seed,"Dec 20, 2023","€700,000",—,—,Savvi is the corporate learning platform you Young Talents' future-critical skills,E-Learning,Savvi HR E-Learning startup website,,,,753.0
topshelf,2023,"Berlin, Berlin, Germany","Beauty, Cosmetics, E-Commerce,",1-10,1,"$100,000",Pre-Seed,"Nov 27, 2023","$100,000",1,—,topshelf is building an AI-powered review app for the most honest reviews.,Beauty,topshelf Beauty startup website,,,,
Keaz,"Mar 7, 2023","Berlin, Berlin, Germany","Advertising, Marketing, Software",1-10,1,"$518,700",Pre-Seed,"May 5, 2023","$518,700",—,—,One tool that empowers local businesses to master their online marketing.,Advertising,Keaz Advertising startup website,,,,
Papayo,2024,"Munich, Bayern, Germany","Artificial Intelligence (AI), Human Resources,",1-10,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,Papayo provides AI tools that help HR and recruitment teams boost productivity and improve work-life balance.,Artificial Intelligence (AI),Papayo Artificial Intelligence (AI) startup website,,,,315.0
Vickii,Apr 2022,"Münster, Nordrhein-Westfalen,","Apps, Finance, FinTech, News,",11-50,1,"€1,200,000",Pre-Seed,"Sep 5, 2023","€1,200,000",8,—,Vickii is the platform that enables self-directed investing by providing access to relevant information.,Apps,Vickii Apps startup website,,,,
resourcly,2023,"Mannheim, Baden-Wurttemberg,","Artificial Intelligence (AI), GreenTech,,,,",1-10,2,"$120,000",Pre-Seed,"Oct 9, 2023","$120,000",2,7,Resourcly helps manufacturers improve working capital with their shared inventory OS by leveraging product data and AI.,Artificial Intelligence (AI),resourcly Artificial Intelligence (AI) startup website,,,,
limbiq.com,2020,"Duisburg, Nordrhein-Westfalen,","E-Commerce, Logistics, SaaS,,",1-10,3,"€1,500,000",Pre-Seed,"Feb 24, 2023","€1,000,000",9,—,limbiq.com is AI-driven supply chain management SaaS platform to digitize collaboration across company borders,E-Commerce,limbiq.com E-Commerce startup website,,,,
Dudoxx,"Sep 1, 2023","Hamburg, Hamburg, Germany","Health Care, Medical Device, Software Engineering",1-10,1,"€400,000",Pre-Seed,"Jan 3, 2024","€400,000",—,—,Streamline Medical Documentation With Dudoxx,Health Care,Dudoxx Health Care startup website,,,,70.0
Novaheal,2021,"Bochum, Nordrhein-Westfalen,","E-Learning, Nursing and Residential Care,",11-50,3,"€565,000",Pre-Seed,"May 3, 2023","€560,000",12,2,Novaheal is a learning platform for trainees and young professionals in nursing.,E-Learning,Novaheal E-Learning startup website,,,1.850,1000.0
Heylama,Aug 2021,"Berlin, Berlin, Germany","Corporate Training, EdTech, Education,,",1-10,2,"€650,000",Pre-Seed,"Sep 10, 2022","€550,000",1,—,Build interactive AI conversational learning flows with a few instructions. A powerful chat interface to learn and practice anything.,Corporate Training,Heylama Corporate Training startup website,,,"5,012",472.0
a2zebra,2022,"Berlin, Berlin, Germany","E-Learning, Education",1-10,1,"$500,000",Pre-Seed,"Apr 3, 2024","$500,000",8,6,a2zebra is a zebra company that specializes in instructional technology for elementary school kids.,E-Learning,a2zebra E-Learning startup website,,,639,829.0
EINSTEIN,"Jan 1, 2024","Heidelberg, Baden-Wurttemberg,","Artificial Intelligence (AI), Generative AI,",1-10,1,"€500,000",Pre-Seed,"Jan 1, 2024","€500,000",—,—,"Vision Language Foundation Model, Agentic Process Automatization, Robotic Process Automatization",Artificial Intelligence (AI),EINSTEIN Artificial Intelligence (AI) startup website,,,,
Hortiya,Jun 2020,"Duisburg, Nordrhein-Westfalen,","Agriculture, AgTech, Artificial Intelligence (AI),,,,,,",1-10,1,"€1,000,000",Pre-Seed,"Apr 1, 2022","€1,000,000",—,2,IT Services and IT Consulting,Agriculture,Hortiya Agriculture startup website,,12.4K,,1000.0
DingoDot,"Feb 4, 2021","Berlin, Berlin, Germany","Accounting, Artificial Intelligence (AI),,,,,,,,",11-50,2,"€507,000",Pre-Seed,"Mar 11, 2021","€500,000",3,3,Virtual CFO for SMBs: Time is Money. Get Both. Automate payments nad make cash work. #fintech #SaaS #AI #crypto #B2B #openbanking #PSD2,Accounting,DingoDot Accounting startup website,,,,
Coleap,Apr 2021,"Berlin, Berlin, Germany","E-Learning, EdTech, Education",11-50,1,"€2,760,000",Pre-Seed,"Apr 28, 2021","€2,760,000",2,—,Coleap is a social commerce platform for professional upskilling.,E-Learning,Coleap E-Learning startup website,,,,2000.0
muffintech,2021,"Berlin, Berlin, Germany","Financial Services, Generative AI,,",11-50,1,"$120,000",Pre-Seed,"Aug 25, 2022","$120,000",1,—,"muffintech is innovating the insurance industry with conversational AI, enhancing customer interactions and operational efficiency.",Financial Services,muffintech Financial Services startup website,,,,2000.0
Rocket Tutor,"Jul 14, 2022","Munich, Bayern, Germany","Apps, Artificial Intelligence (AI),,",1-10,2,"€1,000,000",Pre-Seed,"Oct 16, 2023","€1,000,000",3,—,Rocket Tutor creates learning strategies for arithmetic students based on their specific requirements.,Apps,Rocket Tutor Apps startup website,,,12.4K,1000.0
Halitus,"Jul 17, 2021","Berlin, Berlin, Germany","Health Diagnostics, Information Technology,,",1-10,2,"€1,000,000",Pre-Seed,"Jul 5, 2023","€1,000,000",8,—,"Early disease detection with a portable, simple-to-use device. Turning air into data. Mixed Hardware + SaaS",Health Diagnostics,Halitus Health Diagnostics startup website,,,,
