Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
yuccaHR,Jun 2020,"Düsseldorf, Nordrhein-Westfalen,",Software,1-10,1,—,Seed,"May 20, 2021",—,—,—,yuccaHR helps companies to engage with employees by providing an onboarding workflow automation and matchmaking tool.
CBApply,"Nov 1, 2020","Chemnitz, Sachsen, Germany","SaaS, Service Industry, Software",—,1,—,Seed,"Apr 20, 2021",—,1,—,CBApply is short for Cloud-Based Applications which are innovative business applications that are available as software-as-a-service.
trustkey,2020,"Kirchheim, Bayern, Germany","Customer Service, Data Management,,,",1-10,1,—,Seed,"Jul 7, 2021",—,2,—,"Trustkey is a software company that provides living processes-As-A-Service in one system, driven by templates and improved by metrics."
bitsCrunch,"Feb 1, 2021","Munich, Bayern, Germany","Analytics, Artificial Intelligence (AI),,",51-100,4,"$10,600,000",Series A,"Jan 23, 2024","$2,400,000",32,466,bitsCrunch is an AI enhanced decentralised Blockchain analytics and forensics protocol
Predium,Nov 2021,"Munich, Bayern, Germany","Information Services, Real Estate,",51-100,3,"€19,100,000",Series A,"Nov 28, 2024","€13,000,000",17,12,The Real Estate Intelligence Platform for sustainable capital decisions
Aily Labs,2020,"Munich, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",251-500,1,"€19,000,000",Series A,"Aug 24, 2023","€19,000,000",1,24,We empower business with AI.
carbmee GmbH,Feb 2021,"Berlin, Berlin, Germany","Enterprise Applications, Software,",51-100,2,"€20,000,000",Series A,"Dec 3, 2024","€20,000,000",2,2,The carbon management solution for complex supply chains.
paretos,Mar 2020,"Heidelberg, Baden-Wurttemberg,","Analytics, Artificial Intelligence (AI),,,,,,,,",11-50,4,"€18,500,000",Series A,"Oct 28, 2024","€8,500,000",6,11,"Paretos is the leading AI-based decision intelligence platform to make effective, data-driven decisions across entire organizations."
Finmid,Jan 2021,"Berlin, Berlin, Germany","Financial Services, FinTech, Lending,",11-50,3,"€35,600,000",Series A,"Apr 15, 2024","€23,000,000",4,31,Finmid enables software companies to integrate financial services into their product portfolio through a single API integration.
ikas,"Jan 1, 2020","Berlin, Berlin, Germany","E-Commerce Platforms, Retail Technology,,",101-250,3,"$24,000,000",Series A,"Apr 4, 2024","$20,000,000",10,8,Ikas is a next-generation e-commerce platform for small to medium-sized businesses.
Atlas Metrics,2021,"Berlin, Berlin, Germany","Business Information Systems,,,",11-50,3,"€17,400,000",Series A,"Sep 30, 2024","€12,200,000",13,14,"Simplify ESG, Automate Compliance"
Neotaste,2021,"Osnabrück, Niedersachsen, Germany","Apps, Internet, Search Engine,",11-50,2,"€21,000,000",Series A,"Mar 14, 2024","€15,100,000",5,17,Neotaste is the developer of the restaurant-finding app that provides free marketing services for restaurateurs.
