Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
ACCURE Battery Intelligence,"Jul 1, 2020","Aachen, Nordrhein-Westfalen,","Analytics, Artificial Intelligence (AI),,,,,,,",51-100,3,"$18,494,830",Series A,"Aug 22, 2023","€7,200,000",5,20,ACCURE is an AI-powered battery analytics company.
Goodbytz,2021,"Hamburg, Hamburg, Germany","Assistive Technology, Cooking,",11-50,2,"€14,500,000",Series A,"Oct 24, 2023","€12,000,000",2,16,Goodbytz creates intelligent robotic kitchen assistants that give chefs more time and creative freedom.
WorkerHero,Mar 2021,"Munich, Bayern, Germany","Human Resources, Recruiting,",11-50,2,"€7,100,000",Series A,"Jul 16, 2024","€4,600,000",6,5,WorkerHero is a modern recruiting tech company to make recruitment easier for companies by automatically delivering job vacancies.
Threedy,"Oct 15, 2020","Darmstadt, Hessen, Germany","3D Technology, Augmented Reality,,,,",51-100,2,"€11,400,000",Series A,"Feb 20, 2024","€9,600,000",8,8,"Building on 25 years of research, Threedy’s visual computing pioneers are leading the development of our platform technology instant3Dhub."
AIPERIA GmbH,2021,"Großrinderfeld, Baden-Wurttemberg,","Artificial Intelligence (AI), Food and Beverage,,",11-50,2,"€7,500,000",Series A,"Apr 18, 2024","€7,500,000",3,—,AI-based planning solution for fresh food
Alaiko,"Mar 23, 2020","Munich, Bayern, Germany","E-Commerce, Logistics, Software",51-100,1,"$30,000,000",Series A,"Jan 18, 2022","$30,000,000",3,4,Enabling e-commerce shops via a world class logistic-as-a-service platform.
OXOLO,2020,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Gaming,,",11-50,1,"€13,000,000",Series A,"Oct 24, 2023","€13,000,000",9,11,OXOLO provides a varied choice of AI characters to build product films that are highly appealing to clients.
Friday Finance,2021,"Berlin, Berlin, Germany","Banking, Finance, Financial Services,,,",51-100,3,"$22,984,098",Series A,"Jun 14, 2022","$20,000,000",15,16,Friday Finance is a finance management platform that automates financial management for startups and SMBs.
AUTOVIO,Jan 2021,"Berlin, Berlin, Germany","Automotive, Consulting, Education,,",11-50,3,"€8,400,000",Series A,"May 29, 2024","€3,800,000",2,2,Autovio provides a full-stack platform of software and business services for the driving education industry.
Eye Able,Oct 2020,"Margetshöchheim, Bayern, Germany","Artificial Intelligence (AI), Assistive Technology,",51-100,1,"€20,000,000",Series A,"Nov 22, 2024","€20,000,000",4,—,Eye Able is a holistic provider of digital accessibility.
Caeli Wind,2021,"Berlin, Berlin, Germany","Intelligent Systems, Marketing,",51-100,3,"€14,000,000",Series A,"May 16, 2024","€11,000,000",5,15,Digital marketplace that identifies wind potential locations for landowners and enables professional AI-supported analysis and marketing.
Telehealth Competence Center,2020,"Hamburg, Hamburg, Germany","Apps, Artificial Intelligence (AI),,,",11-50,1,"€20,000,000",Series A,"Nov 4, 2024","€20,000,000",1,—,Telehealth Competence Center develops digital telemedicine solutions for healthcare sectors.
aimpower,"Jan 1, 2020","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Market Research,,",11-50,1,"€6,500,000",Series A,"Mar 13, 2023","€6,500,000",1,2,"aimpower empowers brands to leverage the power of AI and automation to become better, faster and stronger."
35up,Feb 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), E-Commerce,,,,,",11-50,2,"$8,300,000",Series A,"Sep 29, 2022","$5,000,000",3,2,Bringing Embedded Cross-Selling into every online checkout.
delphai,"Jan 1, 2020","Berlin, Berlin, Germany","Analytics, Artificial Intelligence (AI),,,,,,",11-50,3,"€4,700,000",Series A,"Jun 6, 2023","€3,800,000",6,13,delphai is your premier analytics platform for actionable insights on the innovations and companies driving change across industries.
cofenster,May 2020,"Hamburg, Hamburg, Germany","Software, Video, Video on Demand",11-50,2,"€9,500,000",Series A,"Feb 10, 2022","€8,000,000",3,1,cofenster is a video software company that enables to quickly and easily create videos in-house.
Qdrant,"Oct 29, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Big Data,,,,",11-50,3,"$37,788,073",Series A,"Jan 23, 2024","$28,000,000",6,32,Qdrant is an open-source vector search engine and database for next-generation AI applications.
Bringoo,Dec 2020,"Hamburg, Hamburg, Germany","E-Commerce, E-Commerce Platforms,,,,,",51-100,4,"€5,800,000",Series A,"Jul 18, 2022","€5,000,000",10,5,Local-Commerce-Platfrom with additional fulfillment and delivery options
Tacto,"Jan 1, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Enterprise Software,,,,,",11-50,3,"€56,300,000",Series A,"Dec 11, 2023","€50,000,000",9,5,"Tacto optimizes procurement, ensuring compliance, sustainability, and efficient material sourcing for mid-sized industrial firms."
Quantum Optics Jena,2020,"Jena, Thuringen, Germany","Electronics, Hardware, Manufacturing,",11-50,2,"€8,500,000",Series A,"Sep 11, 2024","€8,500,000",6,5,Quantum Optics Jena develops quantum-based solutions for state-of-the-art communication systems.
BeeOLED,2020,"Dresden, Sachsen, Germany","3D Technology, Information Technology",11-50,1,"€13,300,000",Series A,"Aug 23, 2023","€13,300,000",7,13,BeeOLED solves a significant issue in the OLED field.
Jina AI,"Feb 1, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Cloud Data Services,,,",11-50,3,"$37,500,000",Series A,"Nov 22, 2021","$30,000,000",5,24,Empowering businesses and developers to build neural search solutions in minutes at scale.
ooblee,2021,"Berlin, Berlin, Germany","E-Commerce, Mobile Apps, Social Media,,",11-50,2,"€4,000,000",Series A,"Jan 15, 2023",—,1,1,"ooblee is a multi-feature, community first sales engine with focus on local brick & mortar stores – a social commerce solution"
Composable Finance,2021,"Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Decentralized Finance (DeFi),,",51-100,2,"$39,000,000",Series A,"Mar 31, 2022","$32,000,000",30,9,Composable Finance is building the interoperable infrastructure for modular DeFi.
Bling.de,"Jun 11, 2021","Berlin, Berlin, Germany","EdTech, Financial Services, FinTech",11-50,3,"€14,700,000",Series A,"Jun 27, 2024","€11,200,000",20,2,"Among Germany's fastest growing fintechs, Bling is reinventing Retail-Banking for families."
Token Fabrik,2020,"Stuttgart, Baden-Wurttemberg,","Blockchain, Cryptocurrency, FinTech,,",1-10,2,"$1,550,000",Series A,"Nov 26, 2021","$1,500,000",2,—,Tokenfabrik enables digital investments in industrial IoT assets with the power of DeFi.
TradeLink,Jan 2020,"München, Bayern, Germany","Collaboration, Logistics, Software",51-100,2,—,Series A,"Jun 21, 2022",—,3,2,TradeLink is a developer of a digital delivery and transport information platform.
Endaxis,"Sep 28, 2021","Düsseldorf, Nordrhein-Westfalen,","Information Technology, Software",1-10,1,"€4,000,000",Series A,"Nov 10, 2021","€4,000,000",—,—,Endaxis offers solutions for data science and software engineering recruitment.
ecomi.io,"Jan 17, 2022","Jena, Thuringen, Germany","Advertising, Information Technology,",1-10,1,"€200,000",Series A,"Jan 22, 2022","€200,000",—,—,environmental protection by using marketing
U-Pax,2020,"Munich, Bayern, Germany","Apps, Delivery Service, E-Commerce,",11-50,1,"€1,000,000",Series A,"Mar 2, 2020","€1,000,000",1,—,U-Pax develops an app-based shopping platform that enables users to buy local products online.
Journee,May 2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Augmented Reality,,,,,",51-100,3,—,Series A,"Oct 1, 2023",—,—,5,Journee is the leader in the rapidly growing Immersive AI/ Spatial space.
Nyonic,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Information Technology,",1-10,1,—,Series A,"Jul 13, 2023",—,1,5,Nyonic provides cutting-edge AI technologies to tackle tough problems for businesses.
