Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Fronyx,2020,"Essen, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Electric Vehicle,,,,,",—,1,—,Pre-Seed,"May 1, 2024",—,1,—,Fronyx develops online solutions using artificial intelligence for the electric vehicle industry.
Compounder,"Jul 1, 2020","Cologne, Nordrhein-Westfalen,","EdTech, Education, Higher Education,,",1-10,1,—,Pre-Seed,"Mar 31, 2023",—,3,—,Compounder is a platform through which students can apply to their desired universities with just one profile.
Qruise,2021,"Saarbrücken, Saarland, Germany","Artificial Intelligence (AI), Machine Learning,,,",11-50,2,—,Pre-Seed,"Dec 1, 2022",—,2,—,Machine Learning for Science - starting with Quantum Technologies
CooperHire,"Feb 12, 2020","Berlin, Berlin, Germany","Internet, Marketplace, Software",1-10,1,—,Pre-Seed,"Apr 4, 2020",—,1,—,CooperHire is a candidate-led job marketplace that aims to alleviate the agony and aggravation of looking for a new job.
vamos!,"Jan 15, 2021","Cologne, Nordrhein-Westfalen,",Mobile Apps,1-10,1,—,Pre-Seed,"Feb 12, 2022",—,1,3,vamos is a platform for spontaneous and friendly get-togethers among young people.
HARPOCRATES Solutions,"Apr 14, 2020","Berlin, Berlin, Germany","Automotive, Banking, Cloud Computing,,,,,,,",1-10,2,—,Pre-Seed,"Nov 19, 2020",—,2,21,"Provider of Forward Compliance for B2B and B2C Customers in context of GDPR, Basel III/IV and other regulations and contract understanding."
Finstep,"Apr 27, 2022","Hamburg, Hamburg, Germany","EdTech, Education, FinTech",1-10,1,—,Pre-Seed,"Jun 4, 2022",—,—,—,"Mobile App, Financial Education for GenZ"
getpantom,Feb 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Financial Services,",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,—,getpantom helps early stage founders to find their Perfect Investors in Just 5 Minutes… with their AI-Driven Investor Search and Outreach
tracebloc,"Sep 29, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Enterprise Software,",1-10,1,—,Pre-Seed,"Sep 29, 2020",—,2,—,We help enterprises to easily identify and buy high-performance AI models for their specific use cases.
WebSniffer,2022,"Nuremberg, Bayern, Germany","Analytics, Big Data, Business Intelligence,,,,,,,",1-10,1,—,Pre-Seed,"May 1, 2022",—,—,26,An intelligence platform that tracks changes on the web and provides actionable insights
Candoora,2022,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Human Resources,,,",1-10,1,—,Pre-Seed,"Dec 1, 2022",—,1,—,Employee Performance Platform
haeppie,"Feb 12, 2021","Munich, Bayern, Germany","B2B, SaaS, Sales Automation,",1-10,1,—,Pre-Seed,"Apr 10, 2021",—,—,—,haeppie builds the workspace for sales teams.
Rephrasy,2022,"Gröbenzell, Bayern, Germany","Artificial Intelligence (AI), Information Technology,",1-10,2,—,Pre-Seed,"Jul 16, 2023",—,—,—,the world's most powerful AI Humanizer and AI-generated content detector.
emplu,2021,"Berlin, Berlin, Germany","Apps, Employee Benefits, Software",11-50,2,—,Pre-Seed,"May 10, 2022",—,8,—,emplu develops a software platform for building salary packages as diverse as the people involved.
saasmetrix,"Sep 2, 2021","Bielefeld, Nordrhein-Westfalen,","IT Management, Software",1-10,1,—,Pre-Seed,"Mar 1, 2022",—,—,—,"saasmetrix allows you to optimize your SaaS spending, accelerate your onboarding, and have all information you need just in one place!"
Ultimate,2021,"Berlin, Berlin, Germany","Blockchain, Information Technology,,,",11-50,1,—,Pre-Seed,"Jan 1, 2023",—,1,—,Ultimate is an information technology company that develops investment apps and web3 co-pilot for the navigation of crypto wallets.
Ventecon,Oct 2020,"Karlsruhe, Baden-Wurttemberg,","Artificial Intelligence (AI), B2B,,",1-10,1,—,Pre-Seed,"Nov 17, 2021",—,1,—,The AI Co-worker for Product Managers
"sooley - insoles, your way","Jan 1, 2021","Konstanz, Baden-Wurttemberg,","Digital Marketing, Health Diagnostics,,",1-10,1,—,Pre-Seed,"Dec 31, 2020",—,1,—,"B2B/B2C, Our revolutionary 3D scanning app empowers millions worldwide to obtain custom insoles directly"
Looks,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Consumer Software,,,",1-10,1,—,Pre-Seed,"Jun 1, 2022",—,1,—,Looks is a mobile application that enables users to customize outfits based on the occasion.
Alocai,"Mar 1, 2021","Berlin, Berlin, Germany","Artificial Intelligence (AI), Software",11-50,1,—,Pre-Seed,"Oct 21, 2021",—,1,—,Alocai is an end-to-end game localization platform that integrates human creativity and AI to deliver superior gaming experiences.
Skytale,"Dec 9, 2020","Berlin, Berlin, Germany","Blockchain, Cryptocurrency, Financial Services,",1-10,1,—,Pre-Seed,"Feb 15, 2021",—,—,4,Enterprise-grade crypto asset tracking and financial platform
House Of Change,2022,"Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Consulting,,,,,",1-10,1,—,Pre-Seed,"Nov 16, 2022",—,3,—,info.link brings every physical product to the digital world.
Qualiwise,2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), Software",1-10,1,—,Pre-Seed,"Aug 27, 2024",—,1,—,Qualiwise has created software that digitizes the whole quality control process with the help of artificial intelligence.
recoupling,"May 28, 2021","Berlin, Berlin, Germany","Apps, Artificial Intelligence (AI),",1-10,2,—,Pre-Seed,"Aug 29, 2023",—,4,—,Recoupling is a mobile app that combines scientific findings from couples therapy with gamification.
