Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
dehaze,2023,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,",1-10,1,"$20,000",Pre-Seed,"Oct 9, 2023","$20,000",1,—,dehaze provides healthcare services by bringing medical AI models into clinical practice.,Artificial Intelligence (AI),dehaze Artificial Intelligence (AI) startup website,,,,511.0
comoon.xyz,2022,"Berlin, Berlin, Germany","Analytics, Blockchain, Cryptocurrency,,",1-10,1,"€170,000",Pre-Seed,"Sep 30, 2022","€170,000",1,—,No-code analytics platform for web3 communities,Analytics,comoon.xyz Analytics startup website,,"6,102",,5000.0
Scripe,"Apr 26, 2024","Berlin, Berlin, Germany","Artificial Intelligence (AI), Generative AI,,,",1-10,1,—,Pre-Seed,"Dec 16, 2024",—,3,—,Scripe offer a LinkedIn workspace that generates content using an algorithm that adapts in real-time to platform algorithms and trends.,Artificial Intelligence (AI),Scripe Artificial Intelligence (AI) startup website,,,,3000.0
Safeverse,2021,"Ingolstadt, Bayern, Germany","Education, Metaverse, Training",1-10,1,"$1,000,000",Pre-Seed,"Sep 12, 2022","$1,000,000",4,—,"Safeverse is a training, Learning and Education to equip people for future jobs in the metaverse and real life.",Education,Safeverse Education startup website,,,,
VeeMind,Sep 2022,"Hamburg, Hamburg, Germany","Human Resources, SaaS",1-10,1,"€350,000",Pre-Seed,"Oct 1, 2022","€350,000",—,—,HR B2B SaaS leadership development platform,Human Resources,VeeMind Human Resources startup website,,,,448.0
Phaseinvest,2023,"Berlin, Berlin, Germany","Finance, Financial Services, FinTech,",1-10,1,"€20,000",Pre-Seed,"Feb 20, 2023","€20,000",1,—,Phaseinvest is the developer of a financial platform designed to offer portfolio analysis services.,Finance,Phaseinvest Finance startup website,,,,162.0
EuroLeaps,"Jun 1, 2023","Munich, Bayern, Germany","Artificial Intelligence (AI), Enterprise Software",1-10,1,"$200,000",Pre-Seed,"Jun 1, 2023","$200,000",—,—,EuroLeaps provides enterprise search AI solutions based on Large Language Models (LLMs).,Artificial Intelligence (AI),EuroLeaps Artificial Intelligence (AI) startup website,,,,
EcoPhi Renewables Engineering GmbH,Jan 2020,"Karlsruhe, Baden-Wurttemberg,","Asset Management, Renewable Energy,,",1-10,1,"€200,000",Pre-Seed,"Nov 1, 2020","€200,000",1,—,"Remote Monitoring and Control, Asset Managment",Asset Management,EcoPhi Renewables Engineering GmbH Asset Management startup website,,,,3000.0
F-One,"Apr 24, 2021","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Robotic Process Automation (RPA)",1-10,1,"€200,000",Pre-Seed,"Feb 1, 2023","€200,000",—,—,AI Freelancer that can be hired like a person to perform office routines.,Artificial Intelligence (AI),F-One Artificial Intelligence (AI) startup website,,,,
DropStar,2021,"Berlin, Berlin, Germany","Cryptocurrency, Marketplace,",1-10,1,"€170,000",Pre-Seed,"Nov 10, 2021","€170,000",1,—,DropStar is a social token platform and marketplace for curated music drops.,Cryptocurrency,DropStar Cryptocurrency startup website,,,,
Carré Mobility,2020,"Berlin, Berlin, Germany","Ride Sharing, SaaS, Sharing Economy",1-10,1,"$20,000",Pre-Seed,"Apr 11, 2023","$20,000",1,—,"Carré Mobility offers shared mobility solutions for the housing industry, saving space and costs.",Ride Sharing,Carré Mobility Ride Sharing startup website,,,,
Gleans,Jul 2022,"Berlin, Berlin, Germany","Apps, Content, Mobile Apps",1-10,1,"€170,000",Pre-Seed,"Sep 30, 2022","€170,000",1,1,"Your Personal Content Hub. Combining the convenience of social media, with the flexibility of a website.",Apps,Gleans Apps startup website,,"6,057",,
LOCCO,2022,"München, Bayern, Germany","Apps, Audio, Mobile Apps, Tourism",1-10,1,"$100,000",Pre-Seed,"Apr 11, 2023","$100,000",1,—,LOCCO is a platform that uses location-based technology to provide drivers with audio content access.,Apps,LOCCO Apps startup website,,,,
Newsbriefs,"Oct 1, 2021","Berlin, Berlin, Germany","Digital Media, Internet, News, Software",11-50,1,"€160,000",Pre-Seed,"Dec 1, 2021","€160,000",—,1,Newsbriefs is a mobile news app that offers relevant news in 70-word summaries.,Digital Media,Newsbriefs Digital Media startup website,,,,7000.0
LucidWrite,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Marketing,",1-10,1,"€110,000",Pre-Seed,"Mar 1, 2022","€110,000",1,—,LucidWrite writes unique content that content creators can adapt to match their brand voice & writing style.,Artificial Intelligence (AI),LucidWrite Artificial Intelligence (AI) startup website,,14.8K,,132000.0
Geld und Wissen,2020,"Frankfurt, Hessen, Germany","Financial Services, FinTech, Software",1-10,1,"€300,000",Pre-Seed,"Oct 22, 2020","€300,000",—,—,Geld und Wissen offers a software tool to sell more actively managed equity funds.,Financial Services,Geld und Wissen Financial Services startup website,,,,
Eldertech,2020,"Aachen, Nordrhein-Westfalen,","Apps, Elder Care, Smart Home",1-10,1,"€25,000",Pre-Seed,"Mar 14, 2022","€25,000",1,1,Pflegende können durch Cloudbasierte Vernetzung von Hilfsmitteln und Videokommunikation aus der Ferne per App Unterstützung leisten.,Apps,Eldertech Apps startup website,,,,
Suburban Health,2020,"England, Nordrhein-Westfalen,","Health Care, Medical, Software",—,1,"$100,000",Pre-Seed,"Jun 30, 2022","$100,000",2,—,Suburban Health is a medical software startup that was founded and is supported by frontline healthcare providers.,Health Care,Suburban Health Health Care startup website,,,,
Sled,2021,"Heidelberg, Baden-Wurttemberg,","Analytics, Information Technology,",11-50,1,"$125,000",Pre-Seed,"Sep 2, 2021","$125,000",1,—,Sled enables the extraction of metadata and usage data that is not available to exist data catalog solutions.,Analytics,Sled Analytics startup website,,,,
WeDataNation,"Nov 14, 2022","Düsseldorf, Nordrhein-Westfalen,","Information Technology, Mobile Apps,",11-50,1,"€60,000",Pre-Seed,"Nov 14, 2022","€60,000",2,—,WeDataNation is a mobile application for analysis and regaining control of data.,Information Technology,WeDataNation Information Technology startup website,,,,
TRONITY,Jan 2020,"Mannheim, Baden-Wurttemberg,","Automotive, Electric Vehicle, Software",1-10,1,—,Pre-Seed,"Feb 1, 2023",—,1,134,"TRONITY creates digital twins for EVs, giving fleets and drivers transparency on vehicle costs, condition, battery health, and more.",Automotive,TRONITY Automotive startup website,,935,,2000.0
Matthias Anderer GmbH,2023,"Holzkirchen, Bayern, Germany","Analytics, Artificial Intelligence (AI),",1-10,1,"$500,000",Pre-Seed,"Nov 2, 2023","$500,000",—,—,"Matthias Anderer GmbH offers consulting services focused on AI, helping businesses develop functional data products and prototypes.",Analytics,Matthias Anderer GmbH Analytics startup website,,,,
Geany,2021,"Cologne, Nordrhein-Westfalen,","Desktop Apps, Developer Tools,,",11-50,1,"A$190,000",Pre-Seed,"May 9, 2022","A$190,000",1,1,Geany is a text editor using the GTK+ toolkit with basic features of an integrated development environment.,Desktop Apps,Geany Desktop Apps startup website,,,,
VOIDS,2022,"Hamburg, Hamburg, Germany","B2B, E-Commerce, Software",1-10,1,"$20,000",Pre-Seed,"Sep 15, 2022","$20,000",1,—,VOIDS helps E-Commerce SMEs able to compete with big sharks such as Amazon or Zalando on eye level.,B2B,VOIDS B2B startup website,,,,
Terranigma Solutions,Mar 2020,"Aachen, Nordrhein-Westfalen,",Machine Learning,1-10,1,"€30,000",Pre-Seed,"Mar 1, 2020","€30,000",1,—,We bring your geological understanding to the next level.,Machine Learning,Terranigma Solutions Machine Learning startup website,,107,,754.0
Sapiema,"Jul 1, 2022","Berlin, Berlin, Germany","Artificial Intelligence (AI), Intelligent Systems,,",1-10,1,"€50,000",Pre-Seed,"Dec 20, 2022","€50,000",—,—,Plug'n Play Machine Learning - automate your ML development,Artificial Intelligence (AI),Sapiema Artificial Intelligence (AI) startup website,,,,81.0
BiMA,2024,"Munich, Bayern, Germany","EdTech, Electronics, Reading Apps",—,1,"€100,000",Pre-Seed,"Feb 10, 2024","€100,000",1,—,BiMA designs electronic devices and software aimed at enriching kids' reading.,EdTech,BiMA EdTech startup website,,13.6K,,12000.0
