Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Acto,2021,"Paderborn, Nordrhein-Westfalen,","Artificial Intelligence (AI), B2B,,,",1-10,1,"€3,700,000",Seed,"Feb 22, 2024","€3,700,000",6,—,Acto is an AI-based software that helps sales managers by syncing all sales data in one place and provides a customized data signal to CRM.
Certivity,2021,"München, Bayern, Germany","Legal Tech, SaaS, Software, Web Development",11-50,1,"€1,400,000",Seed,"Jun 7, 2022","€1,400,000",4,2,"Certivity RegTech Software solution makes regulatory management smarter, more transparent, more efficient, and way cheaper."
Crafthunt,"Oct 6, 2022","Munich, Bayern, Germany","Construction, Recruiting, SaaS,",1-10,2,"€3,000,000",Seed,"Jun 4, 2024","€3,000,000",4,—,Europe's largest platform for construction professionals offering the best job opportunities and breaking language barriers
automaited,2021,"Köln, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), B2B,",11-50,2,"€5,000,000",Seed,"Apr 28, 2022","€4,000,000",4,—,"World’s first general process AI that automatically automates any business process. Quick, easy, efficient."
Seqana,"Feb 1, 2021","Berlin, Berlin, Germany","AgTech, Carbon Capture, Food and Beverage,",11-50,4,"$5,690,623",Seed,"May 30, 2024","€2,100,000",9,2,Seqana develops a software enabling carbon capturing for farmers.
Avelios Medical,"Sep 11, 2020","Munich, Bayern, Germany","Health Care, Software",51-100,1,"€2,000,000",Seed,"Nov 2, 2021","€2,000,000",2,1,Modular hospital platform that digitizes and optimizes all processes in hospitals in a user-friendly way.
Tiptap,"Dec 7, 2022","Berlin, Berlin, Germany","Apps, Information Technology,",11-50,1,"$2,615,000",Seed,"Oct 19, 2023","$2,615,000",4,—,Tiptap is the developer toolkit for building collaborative apps.
SureIn,2021,"Berlin, Berlin, Germany","Information Technology, InsurTech,",1-10,2,"€4,000,000",Seed,"Aug 15, 2023","€4,000,000",9,4,SureIn is a developer of an insurance management application designed to make business insurance efficient.
Graswald,2021,"Hanover, Niedersachsen, Germany","3D Technology, Digital Entertainment,,",11-50,3,"$4,627,444",Seed,"Mar 20, 2024","$3,300,000",13,4,Graswald engages in the creation of natural and digital 3D worlds for the entertainment industry.
specter automation,"May 12, 2021","Cologne, Nordrhein-Westfalen,","Artificial Intelligence (AI), Construction,,,",11-50,2,"€2,700,000",Seed,"Jan 31, 2023","€2,700,000",4,1,"B2B SaaS company for AI powered automation of construction site management and tracking, effectively cutting construction delays in half."
Quantagonia,Nov 2021,"Frankfurt, Hessen, Germany","Quantum Computing, Software",11-50,2,"€4,300,000",Seed,"Jul 4, 2023","€3,550,000",4,15,From Complexity to Clarity. DecisionAI Simplifies Optimization for All
marta,"Aug 1, 2020","Berlin, Berlin, Germany","Health Care, Home Health Care,",51-100,2,"€6,600,000",Seed,"Aug 3, 2023",—,14,—,marta provides software for the live-in care market that empowers caregivers and helps our seniors to age in dignity.
VisionAI,"Jan 12, 2021","Bielefeld, Nordrhein-Westfalen,","Artificial Intelligence (AI), E-Commerce,,",51-100,3,"€6,300,000",Seed,"Oct 20, 2023","€5,000,000",11,11,VisionAI® is a rebellious research lab based in the Teutoburg forest.
BlueLayer,2022,"Berlin, Berlin, Germany",Software,11-50,2,"$5,600,000",Seed,"Jan 30, 2024","$5,600,000",2,10,BlueLayer focuses on building software stacks for project developers producing carbon credits.
TransactionLink,"Sep 1, 2020","Berlin, Berlin, Germany","Banking, Financial Services, FinTech,,",11-50,2,"€6,200,000",Seed,"Oct 11, 2023","€5,000,000",3,36,No-code automation platform for building delightful onboarding for FinTechs.
Honeysales,2021,"Berlin, Berlin, Germany","B2B, Information Technology,,",11-50,1,"€2,500,000",Seed,"Jan 17, 2023","€2,500,000",4,3,First B2B Sales AI for Automated Prospecting & Nurturing
Alpas,2020,"Berlin, Berlin, Germany","B2B, Big Data, Enterprise Software,,,",11-50,2,"$2,700,000",Seed,"Aug 29, 2023",—,2,1,Alpas develops software for procurement departments to identify suppliers 10x faster.
Fides,"Sep 3, 2021","Munich, Bayern, Germany",Software,11-50,2,"$4,300,000",Seed,"Oct 12, 2022","$3,300,000",9,6,One-stop-shop for Corporate Governance.
Ninetailed,2021,"Berlin, Berlin, Germany","CMS, Personalization, Software",11-50,3,"€6,600,000",Seed,"Oct 26, 2022","€5,000,000",7,8,Ninetailed primarily offers personalization for headless CMS and modern jamstack frameworks.
yoona.ai,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Machine Learning,,",1-10,6,"$2,193,263",Seed,"Jul 7, 2024",—,4,2,yoona.ai is a B2B SaaS Platform.
deepeye,"Oct 4, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,",11-50,1,"€2,500,000",Seed,"Nov 7, 2023","€2,500,000",4,1,Preventing blindness by improving retinal therapy with AI
Agenta,2023,"Berlin, Berlin, Germany","Apps, Artificial Intelligence (AI),,,,",1-10,2,"€1,100,000",Seed,"Jun 1, 2024","€1,000,000",2,1,Agenta is the open-source LLMOps platform that allows developers build production ready LLM-powered applications.
simplyblock,Jan 2022,"Berlin, Berlin, Germany","Cloud Computing, Cloud Data Services,,,,,,,,",1-10,2,"$3,302,275",Seed,"Feb 15, 2024","$2,750,000",4,15,"Simplyblock develops low-latency high-performance storage software for IO-intensive workloads, Kubernetes, databases & applications."
VoiceLine,2020,"München, Bayern, Germany","Artificial Intelligence (AI), Information Technology,,,",1-10,2,"€2,400,000",Seed,"Aug 13, 2024","€2,400,000",24,3,VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.
NetBird,Jan 2022,"Berlin, Berlin, Germany","Cyber Security, IaaS, Information Services,",1-10,4,"€5,200,000",Seed,"Dec 3, 2024","€4,000,000",8,9,NetBird is a cybersecurity company that is building an open-source platform to simplify the deployment of Virtual Private Networks.
Rex,Nov 2021,"Berlin, Berlin, Germany","Apps, Health Care, Pet, Veterinary",51-100,2,"€5,000,000",Seed,"Jul 18, 2022","€5,000,000",22,—,"Rex is a platform building and operating design-forward, tech-enabled vet clinics."
einwert,2022,"München, Bayern, Germany","Property Management, Real Estate,",1-10,2,"€6,000,000",Seed,"Jan 9, 2024","€4,000,000",12,9,Hybrid appraiser reimagining real estate valuation as a whole new ESG-compliant value experience
PIONIX,"Feb 12, 2021","Bruchsal, Baden-Wurttemberg,","Electric Vehicle, Energy, Software",11-50,3,"€5,700,000",Seed,"May 22, 2023","€4,300,000",9,—,open source software as a service for charging stations / e-mobility
DasLab,"Sep 20, 2020","Berlin, Berlin, Germany","Health Care, Health Diagnostics,,,",11-50,1,"€6,200,000",Seed,"Feb 28, 2022","€6,200,000",4,2,"DasLab provides digital workflows for medical tests and vaccinations for patients, doctors, and laboratories."
