Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description,Cleaned Industry,Search Query,LinkedIn Followers,Twitter Followers,Instagram Followers,Linkedin Followers
Embea,Jan 2022,"Berlin, Berlin, Germany","Financial Services, Insurance,,",11-50,1,"€4,000,000",Seed,"Feb 20, 2024","€4,000,000",6,6,Embea is an Embedded Insurance company for Life & Health,Financial Services,Embea Financial Services startup website,,,,
encentive,2020,"Neumünster, Schleswig-Holstein,","Clean Energy, Energy, Energy Efficiency,,",11-50,2,"€2,700,000",Seed,"Jan 22, 2024","€2,700,000",7,5,Flexibility-as-a-Service for Utilities and Grid Operators,Clean Energy,encentive Clean Energy startup website,,,,2000.0
Arbio Group,2022,"Berlin, Berlin, Germany","Hospitality, Property Management,,,",51-100,2,"€25,000,000",Seed,"May 1, 2024","€20,000,000",14,—,Arbio is transforming the property management landscape for alternative accommodations by leveraging advanced AI technology.,Hospitality,Arbio Group Hospitality startup website,,,"2,835",635.0
eco.mio,2021,"Berlin, Berlin, Germany","SaaS, Software, Sustainability",11-50,4,"€785,000",Seed,"Jun 18, 2024",—,14,12,Eco.mio empowers companies to achieve their climate goals while simultaneously realizing significant cost savings on business travel.,SaaS,eco.mio SaaS startup website,,,,3000.0
emlen,2020,"Berlin, Berlin, Germany","B2B, E-Commerce Platforms, Sales,",11-50,2,"$5,400,000",Seed,"Sep 30, 2021","$4,200,000",2,—,emlen is a first-buyer enablement platform that enables business-to-business clients to create visually appealing digital sales rooms.,B2B,emlen B2B startup website,,,,4000.0
Solarize,2020,"Stuttgart, Baden-Wurttemberg,","Energy, SaaS",11-50,2,"€6,300,000",Seed,"Oct 11, 2022","€4,300,000",3,—,"Solarize provides SaaS for energy production, distribution, and billing for commercial microgrids.",Energy,Solarize Energy startup website,,,,3000.0
Autonomo Technologies,"May 25, 2021","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Computer Vision,,",11-50,2,"$4,519,159",Seed,"Mar 13, 2024","€2,300,000",5,2,Autonomo Simplifies Shopping for Retailers and Customers,Artificial Intelligence (AI),Autonomo Technologies Artificial Intelligence (AI) startup website,,,617,4000.0
QuoIntelligence,"Mar 5, 2020","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Cyber Security,,,",51-100,1,"€5,000,000",Seed,"Jul 27, 2023","€5,000,000",3,3,"Our Finished Intelligence, tailor-made for your organization",Artificial Intelligence (AI),QuoIntelligence Artificial Intelligence (AI) startup website,,,,
Fyrfeed,"Oct 10, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Content Marketing,,,,",11-50,4,"€2,430,000",Seed,"May 17, 2022","€2,000,000",11,—,"Fyrfeed is an AI-powered subscription service delivering high-quality, ready-to-publish content for b2b customers.",Artificial Intelligence (AI),Fyrfeed Artificial Intelligence (AI) startup website,,,,5000.0
ai-omatic solutions,2020,"Hamburg, Hamburg, Germany",Software,11-50,3,"$2,996,489",Seed,"Jan 11, 2024","€2,000,000",6,3,AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.,Software,ai-omatic solutions Software startup website,,,,3000.0
AWAKE Mobility,2020,"Munich, Bayern, Germany","Machine Learning, Railroad, Transportation",1-10,2,"€4,000,000",Seed,"Sep 12, 2022","€4,000,000",8,—,"AWAKE Mobility is a Data Science Startup, that supports bus operators with digital transformation.",Machine Learning,AWAKE Mobility Machine Learning startup website,,,,
Dermanostic,2020,"Düsseldorf, Nordrhein-Westfalen,","Apps, Health Care, Medical, Telehealth,",101-250,3,"$2,000,000",Seed,"May 9, 2023",—,3,4,Dermanostic is an online dermatologist app that offers dermatological treatment available to everyone.,Apps,Dermanostic Apps startup website,,,58.2K,
AwesomeQA,2022,"Mühldorf Am Inn, Bayern, Germany","Artificial Intelligence (AI), Customer Service,,",1-10,1,"$2,800,000",Seed,"Jul 11, 2023","$2,800,000",10,4,"An AI bot that provides direct answers to community questions on Discord, Telegram, and websites.",Artificial Intelligence (AI),AwesomeQA Artificial Intelligence (AI) startup website,,"2,151",,1000.0
koppla,"Apr 21, 2020","Potsdam, Brandenburg, Germany","Construction, Real Estate, SaaS,",11-50,2,"€1,600,000",Seed,"Oct 14, 2021","€1,600,000",3,1,koppla is the intuitive construction schedule that turns chaos into ease.,Construction,koppla Construction startup website,,,,4000.0
enclaive,"Jan 25, 2022","Berlin, Berlin, Germany","Cyber Security, Information Technology,,",11-50,1,"€1,650,000",Seed,"Jun 13, 2023","€1,650,000",4,—,Making the cloud the safest place for digital businesses,Cyber Security,enclaive Cyber Security startup website,,251,,530.0
zero44,2022,"Berlin, Berlin, Germany",Software,1-10,1,"€2,500,000",Seed,"May 25, 2023","€2,500,000",3,1,Zero44 is a software company that helps in the digitization of the maritime industry.,Software,zero44 Software startup website,,,,2000.0
Konfetti,"Apr 28, 2021","Berlin, Berlin, Germany","E-Learning, Education, Events,,",11-50,2,"€2,000,000",Seed,"Feb 23, 2023","€2,000,000",5,3,Konfetti is an online booking platform for workshops and events.,E-Learning,Konfetti E-Learning startup website,,,,2000.0
Tomorrow Things,2021,"Bonn, Nordrhein-Westfalen, Germany","Business Development, SaaS,",1-10,1,"€1,500,000",Seed,"Mar 13, 2024","€1,500,000",9,—,Tomorrow Thing is an intelligent automation platform that makes digital twins of technological assets.,Business Development,Tomorrow Things Business Development startup website,,,,824.0
INHUBBER,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,",11-50,7,"€1,845,000",Seed,"Aug 1, 2022",—,5,19,INHUBBER is the world's safest SaaS contract lifecycle management platform with a native digital signature.,Artificial Intelligence (AI),INHUBBER Artificial Intelligence (AI) startup website,,4,,10000.0
enna,"Aug 12, 2020","Munich, Bayern, Germany","Communication Hardware, Elder Care,,,,",11-50,4,"€750,000",Seed,"Nov 20, 2024",—,5,8,enna is the window to the digital world for people who have problems using smartphones or tablets,Communication Hardware,enna Communication Hardware startup website,,,,2000.0
Tilores,Nov 2021,"Berlin, Berlin, Germany","Big Data, Cloud Data Services,,,,",1-10,1,"€1,200,000",Seed,"Jan 27, 2022","€1,200,000",7,3,High-performance entity resolution as a service,Big Data,Tilores Big Data startup website,,76,,889.0
Propel,"Jan 6, 2020","Berlin, Berlin, Germany","Communities, Financial Services,,,",11-50,3,"$2,907,522",Seed,"Jul 10, 2023","€2,500,000",6,2,"Helping growth-stage companies hire top tech talent from emerging markets, curated through a data-driven 'Community-as-a-Service' platform.",Communities,Propel Communities startup website,,"8,291",,4000.0
21strategies,"Mar 9, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Finance,,,,,,,,",1-10,3,"€3,375,000",Seed,"Dec 13, 2022","€1,875,000",2,101,21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.,Artificial Intelligence (AI),21strategies Artificial Intelligence (AI) startup website,,,,
Coqui,2021,"Berlin, Berlin, Germany","Information Services, Information Technology,",11-50,1,"$3,300,000",Seed,"Mar 19, 2023","$3,300,000",3,2,Coqui is a startup that provides open speech tech for everyone.,Information Services,Coqui Information Services startup website,,,,
