Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Equipme,2021,"Frankfurt, Hessen, Germany","Information Technology, Internet,",11-50,1,"$3,800,000",Seed,"Apr 17, 2023","$3,800,000",6,—,Equipme is developing the B2B subscription economy's operating system.
CURE,"Oct 30, 2020","Berlin, Berlin, Germany","Accounting, Banking, Billing, Finance,,,",1-10,1,"€1,400,000",Seed,"Oct 11, 2021","€1,400,000",3,3,CURE - Digital Banking for Health Professionals
Sizekick,Aug 2022,"Munich, Bayern, Germany","Artificial Intelligence (AI), E-Commerce,",11-50,1,"€1,300,000",Seed,"Nov 18, 2022","€1,300,000",1,3,Sizekick uses AI and computer vision technology to reduce returns in fashion e-commerce.
GovRadar,"Mar 2, 2020","Munich, Bayern, Germany","GovTech, SaaS, Software",11-50,2,"€1,705,000",Seed,"Apr 24, 2023","€1,000,000",5,—,SaaS platform to simplify and accelerate public procurement
Logistikbude,"Oct 28, 2021","Dortmund, Nordrhein-Westfalen,",Software,1-10,2,"€2,200,000",Seed,"Aug 31, 2023","€2,200,000",5,—,SaaS solution enabling production & logistics to automate the management of load carriers
Hubtic,2021,"Düsseldorf, Nordrhein-Westfalen,","Freight Service, Logistics, Shipping,,",11-50,1,"$1,300,000",Seed,"Mar 23, 2023","$1,300,000",3,—,"Digital forwarder, helping companies to deliver their goods easier, faster and smarter."
GauVendi,"May 8, 2020","Frankfurt, Hessen, Germany","Hospitality, Information Technology,",11-50,1,"€1,000,000",Seed,"May 7, 2024","€1,000,000",—,3,GauVendi is an End-To_end Sales System including AI-powered booking technology and revenue automation for the hospitality industry.
randevu.tech,"Jun 28, 2021","Berlin, Berlin, Germany","B2B, Developer Platform, E-Commerce Platforms,,,,,,",11-50,3,"$441,873",Seed,"Dec 7, 2023","$325,000",4,2,randevu.tech is the headless cloud infrastructure that enables B2B digital platforms & marketplaces with custom & complex customer journey’s
elvah,2020,"Grafschaft, Niedersachsen, Germany","Charging Infrastructure, Electric Vehicle,",11-50,2,"€3,200,000",Seed,"Aug 11, 2022",—,5,3,"elvah helps find working and suitable EV charging stations, thanks to live data and community feedback."
Swaarm,"Sep 1, 2020","Berlin, Berlin, Germany","Affiliate Marketing, Digital Marketing,,,,",11-50,3,"€800,000",Seed,"Aug 1, 2022",—,1,21,SaaS Performance Marketing Tracking Platform
Wonder,2020,"Berlin, Berlin, Germany","Meeting Software, Social Media,",11-50,2,"$12,200,000",Seed,"Dec 7, 2020","$11,000,000",2,—,Wonder is a virtual space where people can meet and talk.
eduBITES,2021,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Corporate Training,",1-10,1,"€2,100,000",Seed,"Feb 21, 2023","€2,100,000",4,1,eduBITES is an online learning platform for organization.
enverx,"Apr 14, 2022","München, Bayern, Germany","Blockchain, Financial Services,,,,",11-50,1,"€1,000,000",Seed,"Apr 13, 2023","€1,000,000",2,—,"Multi-commodity financing, trading, and escrow management fintech solution, leveraging blockchain technology for trust & transparency."
cureVision,"Mar 25, 2021","Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,,",11-50,3,"$2,886,322",Seed,"Mar 28, 2024","$1,100,000",3,—,"AI-based medical imaging and diagnostic solutions for vascular surgeons and care staff, specialist for chronic wounds"
Qubinets,2022,"Nürnberg, Bayern, Germany","Analytics, Artificial Intelligence (AI),",11-50,2,"€1,600,000",Seed,"Jul 12, 2023","€1,100,000",2,—,"Qubinets is a software firm that offers big data architecture, ML/AI Operations, and training services."
consalio,2021,"Düsseldorf, Nordrhein-Westfalen,","Information Technology, Software",11-50,2,"€2,400,000",Seed,"Jul 11, 2023","€1,200,000",11,1,consalio is an advisor spend management solution company.
SupplyET,"Jan 5, 2022","Hamburg, Hamburg, Germany","Enterprise Software, Information Technology,,,,",1-10,4,"€526,785",Seed,"Apr 17, 2024","€342,500",5,—,"SupplyET enables manufacturers to plan, simulate, and optimize production networks with visual, AI-powered plug-and-play software"
