Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
emlen,2020,"Berlin, Berlin, Germany","B2B, E-Commerce Platforms, Sales,",11-50,2,"$5,400,000",Seed,"Sep 30, 2021","$4,200,000",2,—,emlen is a first-buyer enablement platform that enables business-to-business clients to create visually appealing digital sales rooms.
Solarize,2020,"Stuttgart, Baden-Wurttemberg,","Energy, SaaS",11-50,2,"€6,300,000",Seed,"Oct 11, 2022","€4,300,000",3,—,"Solarize provides SaaS for energy production, distribution, and billing for commercial microgrids."
Autonomo Technologies,"May 25, 2021","Hamburg, Hamburg, Germany","Artificial Intelligence (AI), Computer Vision,,",11-50,2,"$4,519,159",Seed,"Mar 13, 2024","€2,300,000",5,2,Autonomo Simplifies Shopping for Retailers and Customers
QuoIntelligence,"Mar 5, 2020","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Cyber Security,,,",51-100,1,"€5,000,000",Seed,"Jul 27, 2023","€5,000,000",3,3,"Our Finished Intelligence, tailor-made for your organization"
Fyrfeed,"Oct 10, 2020","Berlin, Berlin, Germany","Artificial Intelligence (AI), Content Marketing,,,,",11-50,4,"€2,430,000",Seed,"May 17, 2022","€2,000,000",11,—,"Fyrfeed is an AI-powered subscription service delivering high-quality, ready-to-publish content for b2b customers."
ai-omatic solutions,2020,"Hamburg, Hamburg, Germany",Software,11-50,3,"$2,996,489",Seed,"Jan 11, 2024","€2,000,000",6,3,AI-omatic solutions develop a digital maintenance assistant that transfers an engineer's expert knowledge to an AI system.
AWAKE Mobility,2020,"Munich, Bayern, Germany","Machine Learning, Railroad, Transportation",1-10,2,"€4,000,000",Seed,"Sep 12, 2022","€4,000,000",8,—,"AWAKE Mobility is a Data Science Startup, that supports bus operators with digital transformation."
Dermanostic,2020,"Düsseldorf, Nordrhein-Westfalen,","Apps, Health Care, Medical, Telehealth,",101-250,3,"$2,000,000",Seed,"May 9, 2023",—,3,4,Dermanostic is an online dermatologist app that offers dermatological treatment available to everyone.
AwesomeQA,2022,"Mühldorf Am Inn, Bayern, Germany","Artificial Intelligence (AI), Customer Service,,",1-10,1,"$2,800,000",Seed,"Jul 11, 2023","$2,800,000",10,4,"An AI bot that provides direct answers to community questions on Discord, Telegram, and websites."
koppla,"Apr 21, 2020","Potsdam, Brandenburg, Germany","Construction, Real Estate, SaaS,",11-50,2,"€1,600,000",Seed,"Oct 14, 2021","€1,600,000",3,1,koppla is the intuitive construction schedule that turns chaos into ease.
enclaive,"Jan 25, 2022","Berlin, Berlin, Germany","Cyber Security, Information Technology,,",11-50,1,"€1,650,000",Seed,"Jun 13, 2023","€1,650,000",4,—,Making the cloud the safest place for digital businesses
zero44,2022,"Berlin, Berlin, Germany",Software,1-10,1,"€2,500,000",Seed,"May 25, 2023","€2,500,000",3,1,Zero44 is a software company that helps in the digitization of the maritime industry.
Konfetti,"Apr 28, 2021","Berlin, Berlin, Germany","E-Learning, Education, Events,,",11-50,2,"€2,000,000",Seed,"Feb 23, 2023","€2,000,000",5,3,Konfetti is an online booking platform for workshops and events.
Tomorrow Things,2021,"Bonn, Nordrhein-Westfalen, Germany","Business Development, SaaS,",1-10,1,"€1,500,000",Seed,"Mar 13, 2024","€1,500,000",9,—,Tomorrow Thing is an intelligent automation platform that makes digital twins of technological assets.
INHUBBER,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,",11-50,7,"€1,845,000",Seed,"Aug 1, 2022",—,5,19,INHUBBER is the world's safest SaaS contract lifecycle management platform with a native digital signature.
enna,"Aug 12, 2020","Munich, Bayern, Germany","Communication Hardware, Elder Care,,,,",11-50,4,"€750,000",Seed,"Nov 20, 2024",—,5,8,enna is the window to the digital world for people who have problems using smartphones or tablets
Tilores,Nov 2021,"Berlin, Berlin, Germany","Big Data, Cloud Data Services,,,,",1-10,1,"€1,200,000",Seed,"Jan 27, 2022","€1,200,000",7,3,High-performance entity resolution as a service
Propel,"Jan 6, 2020","Berlin, Berlin, Germany","Communities, Financial Services,,,",11-50,3,"$2,907,522",Seed,"Jul 10, 2023","€2,500,000",6,2,"Helping growth-stage companies hire top tech talent from emerging markets, curated through a data-driven 'Community-as-a-Service' platform."
21strategies,"Mar 9, 2020","Munich, Bayern, Germany","Artificial Intelligence (AI), Finance,,,,,,,,",1-10,3,"€3,375,000",Seed,"Dec 13, 2022","€1,875,000",2,101,21strategies leverages deep technology and Enterprise AI to transform how organizations make decisions under uncertainty.
Coqui,2021,"Berlin, Berlin, Germany","Information Services, Information Technology,",11-50,1,"$3,300,000",Seed,"Mar 19, 2023","$3,300,000",3,2,Coqui is a startup that provides open speech tech for everyone.
