hexafarms,"Jul 13, 2022","Berlin, Berlin, Germany","AgTech, B2B, SaaS",1-10,2,"$1,525,807",Pre-Seed,"May 14, 2024","€1,300,000",3,19,Hexafarms offers a SaaS that enables greenhouses and vertical indoor farms to save on their operations and production.,AgTech,hexafarms AgTech startup website,,,,2000.0
mixedbread ai,Nov 2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Semantic Search,,",1-10,1,"$855,000",Pre-Seed,"Jan 23, 2024","$855,000",4,6,Self improving AI platform for information retrieval & discovery,Artificial Intelligence (AI),mixedbread ai Artificial Intelligence (AI) startup website,,,,
eaze,2022,"Berlin, Berlin, Germany","Apps, Health Care, Mobile Apps,,",11-50,3,"€1,700,000",Pre-Seed,"Jul 6, 2023","€1,700,000",32,—,eaze is a holistic digital program focused on providing solutions for sleep problems through CBT & personal coaching.,Apps,eaze Apps startup website,,,"1,399",1000.0
FINDIQ,2022,"Herford, Nordrhein-Westfalen,","Knowledge Management, Service Industry,",1-10,1,"€1,000,000",Pre-Seed,"Jun 28, 2023","€1,000,000",6,—,FINDIQ created a unique technique to intelligently combine knowledge management and help systems for machine service.,Knowledge Management,FINDIQ Knowledge Management startup website,,,,2000.0
Fanblast,"Jan 2, 2021","Hamburg, Hamburg, Germany","Content Creators, SaaS, Social CRM",11-50,1,"€1,400,000",Pre-Seed,"Dec 22, 2021","€1,400,000",—,—,Fanblast is a SaaS for creators and brands to engage and monetize fans in the most authentic way.,Content Creators,Fanblast Content Creators startup website,,13,37.2K,
Notch,2021,"Hamburg, Hamburg, Germany","B2B, Consumer Software, Information Technology,",1-10,1,"€1,100,000",Pre-Seed,"Jun 26, 2023","€1,100,000",11,—,The simplest way to create and share interactive sales documents.,B2B,Notch B2B startup website,,,,1000.0
Flash,"Oct 14, 2021","Berlin, Berlin, Germany","Apps, E-Commerce, Internet, Mobile Payments,,",1-10,1,"€500,000",Pre-Seed,"Oct 14, 2021","€500,000",1,1,Flash helps brands create the mobile shopping for their customers in both the digital and the physicalworld.,Apps,Flash Apps startup website,,71,"3,539",8000.0
Preventio,"Sep 21, 2021","Frankfurt, Hessen, Germany","Artificial Intelligence (AI), Chemical,,,,,,",11-50,1,"€1,350,000",Pre-Seed,"Apr 4, 2022","€1,350,000",6,1,Preventio is an AI-based solution that specializes in identifying and preventing pipe damages.,Artificial Intelligence (AI),Preventio Artificial Intelligence (AI) startup website,,,,7000.0
Explo,"Aug 18, 2021","Kiel, Schleswig-Holstein, Germany","Artificial Intelligence (AI), News,,,",1-10,2,"€760,000",Pre-Seed,"Aug 7, 2024","€260,000",—,—,Software for publishers to retain readers and increase digital revenue.,Artificial Intelligence (AI),Explo Artificial Intelligence (AI) startup website,,13.4K,,
Synapze,Apr 2021,"Landshut, Bayern, Germany","Banking, Compliance, Financial Services,,,",1-10,3,"€500,000",Pre-Seed,"Jun 18, 2024","€50,000",2,—,"Makers of TinyAI - a cost effective, privacy compliant AI that can be on-prem / cloud for efficient process automation.",Banking,Synapze Banking startup website,,,,417,476
Vickii,Apr 2022,"Münster, Nordrhein-Westfalen,","Apps, Finance, FinTech, News,",11-50,1,"€1,200,000",Pre-Seed,"Sep 5, 2023","€1,200,000",8,—,Vickii is the platform that enables self-directed investing by providing access to relevant information.,,,,,,2159,2159
