Organization Name,Founded Date,Headquarters Location,Industries,Number of Employees,Number of Funding Rounds,Total Funding Amount,Last Funding Type,Last Funding Date,Last Funding Amount,Number of Investors,Number of Articles,Description
Akhetonics,2021,"Berlin, Berlin, Germany","Network Hardware, Semiconductor,",1-10,4,"$8,636,152",Seed,"Nov 28, 2024","€6,000,000",8,7,Akhetonics is creating the world's first all-optical XPU - a general-purpose photonic RISC processor for high-performance computing
Flagright,Nov 2021,"Berlin, Berlin, Germany","Compliance, Financial Services,,,,,",11-50,1,"$2,800,000",Seed,"Jul 7, 2022","$2,800,000",11,76,"AI-native AML compliance & risk management platform to monitor, screen, investigate, and report"
ARX Robotics,2021,"München, Bayern, Germany","Autonomous Vehicles, Drones,,",11-50,2,"€10,150,000",Seed,"Jun 10, 2024","€9,000,000",3,3,ARX is a defense technology company that specializes in the development of autonomous unmanned systems for dual-use applications.
tl;dv,Apr 2020,"Köln, Nordrhein-Westfalen, Germany","Artificial Intelligence (AI), Meeting Software,,",11-50,2,"€4,300,000",Seed,"Jun 16, 2022","€4,300,000",6,10,Join fewer & host leaner live meetings. Catch up on meetings in minutes.
Monite,2020,"Berlin, Berlin, Germany","Financial Services, FinTech, Payments,,",11-50,4,"$17,445,838",Seed,"Feb 19, 2024","$6,000,000",25,52,Monite is an add invoicing and payables automation management platform.
Venta,"Sep 1, 2022","Munich, Bayern, Germany","B2B, Lead Generation, SaaS, Sales Automation,,",1-10,2,"$2,500,000",Seed,"Jan 8, 2025","$2,000,000",1,—,Venta is an AI-worker for highly targeted outreach in Germany
Cambrium,Aug 2020,"Berlin, Berlin, Germany","Advanced Materials, Bioinformatics,,,",11-50,3,"€8,000,000",Seed,"Jun 20, 2024",—,12,4,Cambrium is engineering biology to create high-performance proteins.
Payrails,2021,"Berlin, Berlin, Germany","Developer APIs, Enterprise Software,,,,",51-100,2,"$21,818,153",Seed,"Jun 7, 2023","€14,400,000",7,32,Payrails enables high-growth companies to craft their payment experiences and financial services globally.
Passionfroot,2021,"Berlin, Berlin, Germany","Information Technology, Web Browsers,",1-10,2,"$7,187,048",Seed,"Oct 21, 2024","$3,800,000",21,8,"Passionfroot is a tool that helps creators keep track of their clients, cashflow and projects."
Root Global,2022,"Berlin, Berlin, Germany","B2B, Food and Beverage, SaaS,",11-50,2,"€10,500,000",Seed,"Aug 19, 2024","€8,000,000",14,1,Root Global develops carbon accounting and emissions management platforms to help companies manage and reduce their environmental footprint.
Aware,2021,"Berlin, Berlin, Germany","Apps, Health Care, Software, Wellness",11-50,2,"$15,000,000",Seed,"Jun 30, 2022","$15,000,000",11,4,Aware is a mobile app for evaluating health data and for researching chronic diseases.
trawa,2022,"Berlin, Berlin, Germany","Clean Energy, CleanTech, Renewable Energy,",1-10,3,"€12,400,000",Seed,"May 15, 2024","€10,000,000",14,25,Renewable Energy-as-a-Service
Kipu Quantum,2021,"Karlsruhe, Baden-Wurttemberg,","Hardware, Information Technology,",11-50,2,"€13,500,000",Seed,"Dec 19, 2023","€10,500,000",7,11,Kipu Quantum is a software company that develops application and hardware-specific quantum computing solutions for industrial use.
Langfuse,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Developer Tools,",1-10,1,"$4,000,000",Seed,"Nov 7, 2023","$4,000,000",3,1,Open source observability & analytics for LLM apps
juna.ai,"Aug 26, 2024","Berlin, Berlin, Germany",Artificial Intelligence (AI),1-10,1,"$7,500,000",Seed,"Nov 18, 2024","$7,500,000",4,2,Juna.ai is a platform focused on enhancing the content creation process through the use of AI-powered tools.
Metergrid,2020,"Stuttgart, Baden-Wurttemberg,","Billing, Consulting, Energy Management,,,,,",11-50,3,"€6,200,000",Seed,"Dec 4, 2024","€3,500,000",8,9,Metergrid develops SaaS products for problems of decentralized energy systems.
Langdock,2023,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Database,",1-10,2,"$3,500,000",Seed,"Apr 19, 2024","$3,000,000",7,12,"Langdock is an interactive chat assistant for teams of any size, complete with full privacy settings to ensure compliance."
Kombo,"May 30, 2022","Berlin, Berlin, Germany","Consulting, Human Resources,",11-50,1,"$7,800,000",Seed,"Nov 15, 2022","$7,800,000",10,—,"Kombo is an API for HR, Payroll, ATS and Recruiting integrations"
Frontnow,2020,"Berlin, Berlin, Germany","Artificial Intelligence (AI), B2B,,,,",11-50,3,"€6,500,000",Seed,"Mar 12, 2024","€3,800,000",6,14,Enterprise-Grade AI Supercharging Customer Experience
syte,"Jul 21, 2021","Münster, Nordrhein-Westfalen,","Artificial Intelligence (AI), CleanTech,,",11-50,3,"€8,200,000",Seed,"Sep 26, 2024","€5,000,000",6,—,"Syte offers real-time, AI-driven data and insights about plots for banks, real estate agents, project developers, planners, and authorities."
Layla,2022,"Berlin, Berlin, Germany","Software, Travel",11-50,1,"€3,000,000",Seed,"Nov 29, 2023","€3,000,000",5,—,Layla operates as a travel discovery platform.
allO,2021,"Munich, Bayern, Germany","Food and Beverage, Payments,,,",11-50,2,"$6,489,425",Seed,"Jul 9, 2024","$5,000,000",13,18,allO is an all-in-one restaurant management system. Our mission is to help local restaurants thrive. We strive to democratize gastronomy.
Floy,Jun 2021,"Munich, Bayern, Germany","Artificial Intelligence (AI), Health Care,,,",11-50,3,"€8,800,000",Seed,"Nov 16, 2023","€5,400,000",5,4,Developing AI to support radiologists in seeing diseases difficult to detect.
Midas,2023,"Berlin, Berlin, Germany","Cryptocurrency, Web3",1-10,2,"$8,750,000",Seed,"Mar 28, 2024","$8,750,000",15,—,Midas is a cryptocurrency application that allows users to sell and invest in cryptocurrency and tokens.
Cello,"Jan 4, 2022","Munich, Bayern, Germany","Artificial Intelligence (AI), B2B,,",11-50,2,"€6,300,000",Seed,"Jul 20, 2023","€4,000,000",10,2,All-in-one Referral Platform to amplify word-of-mouth
GlassFlow,"Apr 25, 2023","Berlin, Berlin, Germany","Big Data, Cloud Data Services,,,,,,",1-10,2,"$5,900,000",Seed,"Oct 29, 2024","$4,800,000",9,9,GlassFlow is a next-gen data streaming infrastructure company on a mission to democratize data streaming.
Deltia,Nov 2022,"Berlin, Berlin, Germany","Analytics, Artificial Intelligence (AI),,,,,",11-50,2,"€6,100,000",Seed,"Apr 26, 2024","€4,500,000",11,5,Unlocking a new level of productivity in manual processes with the power of computer vision and AI-based analytics
Smalt,Apr 2023,"Berlin, Berlin, Germany","EdTech, SaaS, Skill Assessment,,",1-10,2,"€12,100,000",Seed,"Sep 16, 2024","€8,000,000",9,—,Labour supply & productivity in the climate trades
Amie,"Jan 1, 2020","Berlin, Berlin, Germany","Productivity Tools, Software",1-10,3,"$8,300,000",Seed,"Nov 28, 2022","$7,000,000",11,5,The joyful productivity app
Sereact,Nov 2021,"Stuttgart, Baden-Wurttemberg,","Artificial Intelligence (AI), Machine Learning,",11-50,1,"$5,000,000",Seed,"Aug 8, 2023","$5,000,000",10,3,Sereact created an adaptable AI in order to commercialise a new era of intelligent robots.
Tanso,2021,"Munich, Bayern, Germany","Business Intelligence, Enterprise Software,,,",11-50,3,"$8,943,099",Seed,"Apr 18, 2023","€4,000,000",5,2,Tanso enables industrial companies to achieve their sustainability targets.
synthavo,"May 16, 2022","Stuttgart, Baden-Wurttemberg,","Apps, E-Commerce, Marketing,",1-10,1,"€4,000,000",Seed,"Dec 17, 2024","€4,000,000",2,—,Visual spare part ordering
nuvo,Oct 2020,"Hamburg, Hamburg, Germany","B2B, Business Intelligence, Data Integration,,,,",11-50,2,"€4,600,000",Seed,"Dec 12, 2023","€3,000,000",6,—,"nuvo offer you and your clients to automatically map, validate clean and import spreadsheet data!"
Kertos,"Nov 10, 2021","München, Bayern, Germany","Artificial Intelligence (AI), Compliance,,,,",51-100,2,"€5,000,000",Seed,"May 4, 2023","€4,000,000",14,6,Kertos is a software company based in Europe that develops and provides a holistic compliance and privacy platform.
Empion,2022,"Berlin, Berlin, Germany","Artificial Intelligence (AI), Human Resources",11-50,2,"€8,400,000",Seed,"Oct 25, 2023","€6,000,000",16,11,"Empion is the first automated headhunting system matching candidates and companies based on values, skills, and personality traits."
gyde,2020,"Stuttgart, Baden-Wurttemberg,","E-Learning, Sales Enablement,",1-10,2,"€5,100,000",Seed,"Dec 17, 2024","€4,000,000",10,—,gyde offers digital micro-learning and cross-company coaching for managers.
atmio,2023,"Hamburg, Hamburg, Germany","Clean Energy, Energy, Fossil Fuels,,,,",1-10,2,"$6,860,222",Seed,"Jun 20, 2024","€5,100,000",8,15,"The operating system for the oil & gas sector to effortlessly find, fix, and report methane emissions"
Superlist,"Jul 31, 2020","Berlin, Berlin, Germany","Consulting, Data Integration, Information Technology,",11-50,4,"€13,500,000",Seed,"Mar 25, 2022","€10,000,000",4,11,Superlist is a collaboration tool reimagining workplace productivity through technology.
deeploi,Feb 2023,"Berlin, Berlin, Germany","Information Technology, IT Management,,",11-50,2,"€9,000,000",Seed,"Jan 24, 2024","€6,000,000",2,15,"deeploi is building Europe's #1 IT Operating System, solving the daily IT struggle of employees at SMEs."
Prematch,Jul 2021,"Köln, Nordrhein-Westfalen, Germany","Mobile, Natural Language Processing,",11-50,4,"€4,100,000",Seed,"Nov 13, 2023",—,23,1,Prematch is building the #1 platform for grassroots football.
