City,State,Funding,geometry
Berlin,Berlin,8976269.5,POINT (13.4349112 52.5103817)
Leipzig,Sachsen,,POINT (12.3747329 51.3406321)
Berlin,Berlin,1900000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Wedel,Niedersachsen,1030000.0,POINT (9.4041288 53.4999367)
Berlin,Berlin,7833882.32,POINT (13.4349112 52.5103817)
Munich,Bayern,2776088.0,POINT (11.5753822 48.1371079)
Freiburg,Baden-Wurttemberg,8050000.0,POINT (7.8494005 47.9960901)
Heidelberg,Baden-Wurttemberg,18500000.0,POINT (8.694724 49.4093582)
Berlin,Berlin,6372000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,1090000.0,POINT (13.4349112 52.5103817)
Hamburg,Hamburg,20000000.0,POINT (9.975375829413123 53.5909051)
Berlin,Berlin,6000000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,1710000.0,POINT (11.5753822 48.1371079)
Kassel,Hessen,800000.0,POINT (9.4978479 51.3157833)
Berlin,Berlin,7875000.0,POINT (13.4349112 52.5103817)
Bochum,Nordrhein-Westfalen,8600000.0,POINT (7.2196635 51.4818111)
Teltow,Brandenburg,1431000.0,POINT (13.2685278 52.3805562)
Berlin,Berlin,1500000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,750000.0,POINT (11.5753822 48.1371079)
Margetshöchheim,Bayern,20000000.0,POINT (9.86389 49.8375)
Darmstadt,Hessen,8000000.0,POINT (8.6736295 49.8851869)
Berlin,Berlin,9154321.12,POINT (13.4349112 52.5103817)
Munich,Bayern,19100000.0,POINT (11.5753822 48.1371079)
Munich,Bayern,750000.0,POINT (11.5753822 48.1371079)
Berlin,Berlin,5200000.0,POINT (13.4349112 52.5103817)
Munich,Bayern,,POINT (11.5753822 48.1371079)
Berlin,Berlin,20000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,525000.0,POINT (13.4349112 52.5103817)
Stuttgart,Baden-Wurttemberg,6200000.0,POINT (9.1800132 48.7784485)
Berlin,Berlin,525000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,5000000.0,POINT (13.4349112 52.5103817)
Ober-ramstadt,Hessen,,POINT (8.7548 49.8152)
Berlin,Berlin,1000000.0,POINT (13.4349112 52.5103817)
Berlin,Berlin,,POINT (13.4349112 52.5103817)
Bonn,Nordrhein-Westfalen,945000.0,POINT (7.1024635 50.7352621)
Stuttgart,Baden-Wurttemberg,5100000.0,POINT (9.1800132 48.7784485)
Stuttgart,Baden-Wurttemberg,4000000.0,POINT (9.1800132 48.7784485)
Leipzig,Sachsen,760000.0,POINT (12.3747329 51.3406321)
Munich,Bayern,2575000.0,POINT (11.5753822 48.1371079)
